"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Cngl",7.07280716761606e-22,2.03834053740644,0.97,0.549,9.05177861311503e-18,"atlas_1h_alh","Cngl"
"bel",7.42293751812742e-22,1.99035727135621,0.939,0.513,9.49987543569947e-18,"atlas_1h_alh","bel"
"Hex-A",1.03377245674415e-18,1.57959996323986,0.985,0.8,1.32302199014116e-14,"atlas_1h_alh","Hex-A"
"nAChRalpha6",7.67438787228624e-18,1.66131694400425,0.985,0.718,9.82168159895193e-14,"atlas_1h_alh","nAChRalpha6"
"lncRNA:cherub",8.63669673715782e-18,-4.20311348704382,0.03,0.687,1.10532444842146e-13,"atlas_1h_alh","lncRNA:cherub"
"msi",2.91080154942734e-15,1.9503404175759,0.894,0.523,3.72524382295712e-11,"atlas_1h_alh","msi"
"CG14312",5.4707307862761e-15,2.00437444361793,0.606,0.144,7.00144126027616e-11,"atlas_1h_alh","CG14312"
"Dscam2",5.73632744104634e-14,1.89473303276897,0.803,0.303,7.34135185905111e-10,"atlas_1h_alh","Dscam2"
"Eip75B",8.67695946610888e-14,2.2032629651081,0.667,0.215,1.11047727247261e-09,"atlas_1h_alh","Eip75B"
"Drep2",3.16249836928624e-13,1.78943174080196,0.758,0.349,4.04736541301253e-09,"atlas_1h_alh","Drep2"
"CG30172",3.21045799406616e-13,1.22764580871186,0.924,0.672,4.10874414080588e-09,"atlas_1h_alh","CG30172"
"Dsp1",4.19678379671982e-13,1.80502314513308,0.803,0.467,5.37104390304202e-09,"atlas_1h_alh","Dsp1"
"Ten-a",5.68710203404707e-13,1.51172308304437,0.864,0.554,7.27835318317345e-09,"atlas_1h_alh","Ten-a"
"Tsp66E",6.26484226250708e-13,2.03756101288618,0.545,0.128,8.01774512755657e-09,"atlas_1h_alh","Tsp66E"
"Hsp67Bc",7.73853777803527e-13,2.39838855389426,0.485,0.103,9.90378064832954e-09,"atlas_1h_alh","Hsp67Bc"
"mtgo",1.8029718072739e-12,1.81764828038895,0.773,0.349,2.30744331894914e-08,"atlas_1h_alh","mtgo"
"Bacc",2.04059720074365e-12,1.70553578598468,0.803,0.569,2.61155629751172e-08,"atlas_1h_alh","Bacc"
"Rab27",7.02459219871978e-12,2.14215868249675,0.318,0.026,8.99007309592157e-08,"atlas_1h_alh","Rab27"
"side",8.58925229441007e-12,2.07036839534013,0.439,0.077,1.0992525086386e-07,"atlas_1h_alh","side"
"Syn1",8.61337360381036e-12,1.97563755352726,0.545,0.154,1.10233955381565e-07,"atlas_1h_alh","Syn1"
"sif",9.87244611857843e-12,1.88073174267402,0.727,0.344,1.26347565425567e-07,"atlas_1h_alh","sif"
"Rdl",2.25113094011834e-11,1.30281495712943,0.833,0.579,2.88099737716345e-07,"atlas_1h_alh","Rdl"
"Rdh",5.52163703294382e-11,1.94711360081973,0.515,0.138,7.0665910747615e-07,"atlas_1h_alh","Rdh"
"fabp",5.68532979543389e-11,-2.4697031333298,0.152,0.6,7.27608507219629e-07,"atlas_1h_alh","fabp"
"ATPsynF",6.32156020712335e-11,1.299284907695,0.773,0.456,8.09033275307647e-07,"atlas_1h_alh","ATPsynF"
"dpr1",6.65826435639909e-11,2.28879027126043,0.515,0.138,8.52124672331956e-07,"atlas_1h_alh","dpr1"
"sdt",9.22620656789043e-11,1.70885778979989,0.636,0.236,1.18076991655862e-06,"atlas_1h_alh","sdt"
"Hsp27",1.43614797946117e-10,-2.67818919323731,0.091,0.549,1.83798218411441e-06,"atlas_1h_alh","Hsp27"
"CG42750",1.73103533976871e-10,1.94230520741591,0.47,0.113,2.215379027836e-06,"atlas_1h_alh","CG42750"
"CG13954",3.42610915392337e-10,1.33228919110512,0.848,0.492,4.38473449519113e-06,"atlas_1h_alh","CG13954"
"Pde6",5.16715655316283e-10,1.91921245226627,0.439,0.103,6.6129269567378e-06,"atlas_1h_alh","Pde6"
"CG11000",6.38517437967865e-10,1.83720336369886,0.53,0.159,8.17174617111273e-06,"atlas_1h_alh","CG11000"
"luna",7.79390506831978e-10,1.52969750618219,0.697,0.385,9.97463970643566e-06,"atlas_1h_alh","luna"
"CG17124",9.07347858071946e-10,1.78910611927223,0.682,0.333,1.16122378876048e-05,"atlas_1h_alh","CG17124"
"crol",9.5883617093961e-10,1.72685939839216,0.606,0.246,1.22711853156851e-05,"atlas_1h_alh","crol"
"REPTOR-BP",3.37443981326477e-09,1.83252469220071,0.303,0.041,4.31860807301625e-05,"atlas_1h_alh","REPTOR-BP"
"Oda",4.23436945199083e-09,1.42819707665133,0.652,0.297,5.41914602465787e-05,"atlas_1h_alh","Oda"
"dpr13",4.61328802380767e-09,1.93772276589828,0.712,0.369,5.90408601286906e-05,"atlas_1h_alh","dpr13"
"Pkc53E",6.11847056228369e-09,1.28500983763783,0.758,0.472,7.83041862561067e-05,"atlas_1h_alh","Pkc53E"
"Liprin-gamma",6.26406262931500e-09,1.2548354313283,0.879,0.687,8.01674735299733e-05,"atlas_1h_alh","Liprin-gamma"
"His4r",7.39522487549384e-09,1.17227447879166,0.833,0.615,9.46440879565702e-05,"atlas_1h_alh","His4r"
"lncRNA:noe",9.60878649996219e-09,-3.35070014323532,0.061,0.441,0.000122973249626516,"atlas_1h_alh","lncRNA:noe"
"Hsp23",1.20558852770684e-08,-2.29724208123875,0.076,0.462,0.000154291219775922,"atlas_1h_alh","Hsp23"
"Dhit",1.29608732625903e-08,1.37595488147043,0.773,0.497,0.00016587325601463,"atlas_1h_alh","Dhit"
"UQCR-11",1.33281471734379e-08,1.60495744857283,0.621,0.292,0.000170573627525658,"atlas_1h_alh","UQCR-11"
"CG6770",1.7322254561275e-08,1.58384733593136,0.621,0.287,0.000221690213875197,"atlas_1h_alh","CG6770"
"CG42394",1.84095682286153e-08,1.60355936995307,0.409,0.103,0.000235605654189818,"atlas_1h_alh","CG42394"
"CG42337",3.37284150383258e-08,2.05133626627353,0.364,0.087,0.000431656255660493,"atlas_1h_alh","CG42337"
"eEF1alpha1",3.57958171679898e-08,-1.48759825533119,0.424,0.744,0.000458114868115933,"atlas_1h_alh","eEF1alpha1"
"CG45263",4.51178698369789e-08,1.64778716125459,0.53,0.205,0.000577418498173656,"atlas_1h_alh","CG45263"
"COX8",4.67017696622364e-08,1.04901918593475,0.773,0.544,0.000597689248137301,"atlas_1h_alh","COX8"
"Syx1A",5.12828731535129e-08,1.11834703202237,0.727,0.41,0.000656318210618659,"atlas_1h_alh","Syx1A"
"Tpi",5.68512595877221e-08,1.75714491676761,0.667,0.436,0.000727582420203667,"atlas_1h_alh","Tpi"
"fs(1)h",5.84063846758825e-08,1.42792659154353,0.606,0.292,0.000747484911081944,"atlas_1h_alh","fs(1)h"
"CG41128",5.94611225983627e-08,1.43922896635038,0.591,0.262,0.000760983447013846,"atlas_1h_alh","CG41128"
"pum",6.62626075173391e-08,1.70256069838026,0.652,0.354,0.000848028851006905,"atlas_1h_alh","pum"
"HmgZ",7.04835310694768e-08,1.48961772194682,0.667,0.385,0.000902048230627165,"atlas_1h_alh","HmgZ"
"disco",8.74406187057893e-08,2.06331772394503,0.182,0.01,0.00111906503819669,"atlas_1h_alh","disco"
"Sytbeta",1.04028221748428e-07,1.52810377023808,0.439,0.138,0.00133135318193638,"atlas_1h_alh","Sytbeta"
"CG43759",1.26616051096379e-07,1.21161101714958,0.606,0.246,0.00162043222193146,"atlas_1h_alh","CG43759"
"Frq1",1.70390593442575e-07,1.55545544879779,0.576,0.272,0.00218065881487807,"atlas_1h_alh","Frq1"
"RNASEK",1.71321719324835e-07,0.949485267263201,0.773,0.497,0.00219257536391924,"atlas_1h_alh","RNASEK"
"kek1",1.92667036858749e-07,1.75115993685534,0.364,0.092,0.00246575273771826,"atlas_1h_alh","kek1"
"trv",2.1410664221733e-07,1.37063176089621,0.803,0.6,0.00274013680709739,"atlas_1h_alh","trv"
"Pal2",3.45434526323083e-07,-1.36342623252623,0.47,0.738,0.00442087106788282,"atlas_1h_alh","Pal2"
"mt:CoI",3.7460663814745e-07,-1.20357007150062,0.53,0.841,0.00479421575501106,"atlas_1h_alh","mt:CoI"
"CG4587",3.89355949114954e-07,1.36582214140931,0.318,0.072,0.00498297743677319,"atlas_1h_alh","CG4587"
"Cyt-c-p",4.22060287492475e-07,1.44206908897657,0.439,0.154,0.00540152755932869,"atlas_1h_alh","Cyt-c-p"
"dpr10",4.36103152403544e-07,1.81785352092057,0.318,0.077,0.00558124814446055,"atlas_1h_alh","dpr10"
"Eip78C",4.64226268274792e-07,1.52948009367922,0.212,0.026,0.00594116778138079,"atlas_1h_alh","Eip78C"
"fok",5.2171329346969e-07,1.66806807006383,0.545,0.267,0.00667688672982509,"atlas_1h_alh","fok"
"Pglym78",5.28708044962684e-07,1.82507877775082,0.652,0.462,0.00676640555943244,"atlas_1h_alh","Pglym78"
"CG42613",5.38152750310109e-07,1.30644853210468,0.742,0.472,0.00688727889846878,"atlas_1h_alh","CG42613"
"mt:ATPase6",5.41495434079819e-07,-1.21961728677178,0.379,0.697,0.00693005856535353,"atlas_1h_alh","mt:ATPase6"
"Cbp53E",5.46746936536199e-07,2.25045293138039,0.697,0.472,0.00699726729379028,"atlas_1h_alh","Cbp53E"
"ps",6.26460960271409e-07,0.925844747506176,0.848,0.605,0.0080174473695535,"atlas_1h_alh","ps"
"cype",7.52565553841442e-07,0.882537395549319,0.848,0.728,0.00963133395806278,"atlas_1h_alh","cype"
"DOR",8.36073155598064e-07,1.43269371652854,0.379,0.118,0.010700064245344,"atlas_1h_alh","DOR"
"VhaM9.7-a",8.57683954402055e-07,1.88632165044746,0.455,0.185,0.0109766392484375,"atlas_1h_alh","VhaM9.7-a"
"cib",8.72449715786903e-07,-1.63639505198147,0.288,0.61,0.0111656114626408,"atlas_1h_alh","cib"
"CG31690",9.89607163453625e-07,1.27201601862828,0.348,0.097,0.0126649924778795,"atlas_1h_alh","CG31690"
"CG44774",1.31060401748368e-06,1.28834212794123,0.364,0.103,0.0167731102157562,"atlas_1h_alh","CG44774"
"cdc14",1.33364541975224e-06,1.52785462861362,0.485,0.195,0.0170679940819892,"atlas_1h_alh","cdc14"
"Nlg3",1.4067355871523e-06,1.87003755993962,0.303,0.077,0.0180034020443752,"atlas_1h_alh","Nlg3"
"Not1",1.5702392292287e-06,1.53192361011151,0.409,0.138,0.0200959216556689,"atlas_1h_alh","Not1"
"Toll-6",1.61918047438237e-06,1.108707121591,0.742,0.441,0.0207222717111455,"atlas_1h_alh","Toll-6"
"CG18508",2.02638836315791e-06,1.30535575786978,0.212,0.031,0.0259337182716949,"atlas_1h_alh","CG18508"
