"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Ih",3.63751841654361e-158,0.852768975997223,0.518,0.152,4.65529606949251e-154,"Undifferentiated - 4","Ih"
"cype",1.54992538958326e-155,0.785591865421517,0.745,0.301,1.98359451358866e-151,"Undifferentiated - 4","cype"
"E2f1",2.44046281015402e-155,0.860467150660545,0.47,0.128,3.12330430443511e-151,"Undifferentiated - 4","E2f1"
"CG16711",3.81660849189652e-153,1.19908805520263,0.287,0.041,4.88449554792917e-149,"Undifferentiated - 4","CG16711"
"CG11319",2.84264462187594e-152,1.49963323305338,0.275,0.037,3.63801658707682e-148,"Undifferentiated - 4","CG11319"
"MESK2",4.06606900370507e-152,0.951911089034795,0.392,0.091,5.20375511094175e-148,"Undifferentiated - 4","MESK2"
"Cam",2.74854235324383e-151,0.641901758816943,0.963,0.727,3.51758450368145e-147,"Undifferentiated - 4","Cam"
"Jafrac1",8.26372717189262e-149,0.77567777802951,0.506,0.151,1.05759180345882e-144,"Undifferentiated - 4","Jafrac1"
"Trf2",1.45832130480597e-147,0.760237806930006,0.575,0.19,1.86635960589068e-143,"Undifferentiated - 4","Trf2"
"E(spl)m8-HLH",3.33097055134025e-147,1.87203904884007,0.195,0.006,4.26297611160525e-143,"Undifferentiated - 4","E(spl)m8-HLH"
"Cngl",1.35807935318336e-146,0.950568507199021,0.425,0.113,1.73806995620406e-142,"Undifferentiated - 4","Cngl"
"wge",2.42478556468059e-146,1.21296594667838,0.269,0.036,3.10324056567822e-142,"Undifferentiated - 4","wge"
"Pits",4.27949495618785e-146,0.738917869667777,0.569,0.188,5.47689764492921e-142,"Undifferentiated - 4","Pits"
"CG30172",1.28029337042072e-145,0.90876677544488,0.412,0.106,1.63851945546444e-141,"Undifferentiated - 4","CG30172"
"EndoA",1.96866073267963e-145,0.976147777871458,0.339,0.069,2.51949200568339e-141,"Undifferentiated - 4","EndoA"
"Pkc53E",6.25078514647899e-145,1.41103657164547,0.302,0.054,7.99975483046382e-141,"Undifferentiated - 4","Pkc53E"
