"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"lncRNA:cherub",2.14576070235141e-62,-4.59513228575579,0.044,0.712,2.74614454686934e-58,"atlas_1h_alh","lncRNA:cherub"
"Drep2",2.13552065062301e-54,1.70363798836723,0.904,0.431,2.73303932866733e-50,"atlas_1h_alh","Drep2"
"CG30172",8.41050322663171e-54,1.70199751225614,0.912,0.42,1.07637620294433e-49,"atlas_1h_alh","CG30172"
"Cngl",2.542141652866e-47,1.87530335650452,0.9,0.539,3.2534328873379e-43,"atlas_1h_alh","Cngl"
"Hsp27",1.82653494687245e-44,-3.27884610977732,0.068,0.614,2.33759942500736e-40,"atlas_1h_alh","Hsp27"
"Pde6",1.48610230565658e-42,2.13751288597736,0.683,0.224,1.9019137307793e-38,"atlas_1h_alh","Pde6"
"Syx1A",4.18251046521538e-40,1.26084110085897,0.928,0.653,5.35277689338265e-36,"atlas_1h_alh","Syx1A"
"bel",5.22781008532367e-40,1.32930925408113,0.916,0.586,6.69055134719723e-36,"atlas_1h_alh","bel"
"UQCR-11",6.12419663694694e-40,1.54992544702623,0.795,0.354,7.8377468559647e-36,"atlas_1h_alh","UQCR-11"
"cib",2.76659160222271e-38,-3.09541880145493,0.149,0.614,3.54068393252462e-34,"atlas_1h_alh","cib"
"eEF1alpha1",6.17425989340924e-38,-2.28053582459093,0.229,0.669,7.90181781158514e-34,"atlas_1h_alh","eEF1alpha1"
"Bacc",7.7614458127974e-38,1.53429953081627,0.867,0.55,9.93309835121811e-34,"atlas_1h_alh","Bacc"
"betaTub56D",1.01353243224232e-34,-1.08905239205252,0.783,0.938,1.29711880678372e-30,"atlas_1h_alh","betaTub56D"
"Rdl",2.03962386585408e-34,1.10094958342886,0.952,0.697,2.61031062352006e-30,"atlas_1h_alh","Rdl"
"mt:CoII",2.20641806660161e-34,-1.41273394935403,0.59,0.853,2.82377384163674e-30,"atlas_1h_alh","mt:CoII"
"dlg1",2.24580636049389e-34,1.6898865961516,0.687,0.271,2.87418298016008e-30,"atlas_1h_alh","dlg1"
"Tsp66E",5.16686413733967e-33,1.80965580033019,0.635,0.22,6.6125527229673e-29,"atlas_1h_alh","Tsp66E"
"fabp",5.30254010173043e-32,-2.67883778955973,0.084,0.518,6.78619082219461e-28,"atlas_1h_alh","fabp"
"CG17124",7.86106568449541e-32,1.26552894838871,0.876,0.535,1.00605918630172e-27,"atlas_1h_alh","CG17124"
"nrv3",1.09562285947497e-31,-1.10975993316051,0.775,0.917,1.40217813555606e-27,"atlas_1h_alh","nrv3"
"Rdh",2.80268953035588e-31,1.84744233769142,0.538,0.153,3.58688206094945e-27,"atlas_1h_alh","Rdh"
"mt:CoI",6.51705378715831e-31,-1.3711386340769,0.558,0.84,8.3405254368052e-27,"atlas_1h_alh","mt:CoI"
"sif",3.72257109945276e-30,1.26287746926976,0.839,0.429,4.76414649307964e-26,"atlas_1h_alh","sif"
"Pkc53E",3.85805985316621e-30,1.52499617234061,0.835,0.48,4.93754500008212e-26,"atlas_1h_alh","Pkc53E"
"Dhit",6.99303968169288e-30,1.10864532162867,0.876,0.567,8.94969218463055e-26,"atlas_1h_alh","Dhit"
"Hsp67Bc",2.22359851842598e-29,1.72420043924175,0.679,0.335,2.84576138388157e-25,"atlas_1h_alh","Hsp67Bc"
"mt:ATPase6",1.17264679112727e-28,-1.76907006780094,0.325,0.689,1.50075336328468e-24,"atlas_1h_alh","mt:ATPase6"
"Bsg",1.86378550430832e-27,1.20957270890298,0.791,0.441,2.38527268841379e-23,"atlas_1h_alh","Bsg"
"trv",1.81938711094546e-25,1.24835318008488,0.92,0.755,2.32845162458801e-21,"atlas_1h_alh","trv"
"Nlg2",2.15830844310125e-25,1.58580974624709,0.49,0.143,2.76220314548098e-21,"atlas_1h_alh","Nlg2"
"Vha14-1",2.6439336387004e-25,1.64535013035619,0.522,0.181,3.38370627080878e-21,"atlas_1h_alh","Vha14-1"
"lncRNA:CR40469",6.72520349426199e-25,-2.31870862383233,0.08,0.458,8.6069154319565e-21,"atlas_1h_alh","lncRNA:CR40469"
"CG14312",7.90359187021433e-25,1.50808306092954,0.482,0.141,1.01150168755003e-20,"atlas_1h_alh","CG14312"
"cpo",1.774734170665e-24,1.39503721522115,0.787,0.505,2.27130479161707e-20,"atlas_1h_alh","cpo"
"His4r",2.40355575039157e-23,0.987449965555943,0.843,0.586,3.07607064935114e-19,"atlas_1h_alh","His4r"
"Antp",3.21763620755955e-23,2.06241869165056,0.462,0.162,4.11793081843472e-19,"atlas_1h_alh","Antp"
"Msp300",3.5704437704955e-23,-1.78944560813667,0.261,0.593,4.56945393748015e-19,"atlas_1h_alh","Msp300"
"Syn1",3.78008505191181e-23,1.6700538609841,0.45,0.134,4.83775284943674e-19,"atlas_1h_alh","Syn1"
"cdc14",4.53178031596748e-23,1.52268102847464,0.53,0.2,5.79977244837518e-19,"atlas_1h_alh","cdc14"
"Df31",4.66803134822757e-23,-1.7190642806897,0.225,0.58,5.97414651946165e-19,"atlas_1h_alh","Df31"
"crol",6.30483956489948e-23,1.4304448408296,0.542,0.205,8.06893367515835e-19,"atlas_1h_alh","crol"
"Eip75B",6.43735887066298e-23,1.2930707683564,0.643,0.301,8.23853188267448e-19,"atlas_1h_alh","Eip75B"
"mt:lrRNA",8.27637160805866e-23,-1.09401656571788,0.639,0.851,1.05921003839935e-18,"atlas_1h_alh","mt:lrRNA"
"CG6329",1.58885050526644e-22,-1.60995425760951,0.325,0.65,2.03341087663999e-18,"atlas_1h_alh","CG6329"
"kirre",4.25401195890636e-22,1.81443991569259,0.394,0.105,5.44428450500836e-18,"atlas_1h_alh","kirre"
"cype",5.18215275605499e-22,0.929497289223661,0.94,0.704,6.63211909719918e-18,"atlas_1h_alh","cype"
"hdc",1.54850312121873e-21,-2.20801658478829,0.072,0.412,1.98177429453573e-17,"atlas_1h_alh","hdc"
"CG41128",2.74305284357464e-21,1.21944822396471,0.606,0.26,3.51055902920682e-17,"atlas_1h_alh","CG41128"
"CG13954",9.08536585688012e-21,1.24843802526991,0.755,0.403,1.16274512236352e-16,"atlas_1h_alh","CG13954"
"Hsp23",1.13839211849356e-20,-2.58104134973595,0.032,0.337,1.45691423324806e-16,"atlas_1h_alh","Hsp23"
"lncRNA:noe",2.56628102635762e-20,-2.56345535315922,0.088,0.401,3.28432645753249e-16,"atlas_1h_alh","lncRNA:noe"
"Sytbeta",4.58821078321571e-20,1.94558880624192,0.301,0.062,5.87199216035946e-16,"atlas_1h_alh","Sytbeta"
"Rap1",6.77163234863275e-20,1.18726198891281,0.635,0.311,8.66633507978019e-16,"atlas_1h_alh","Rap1"
"CG31221",7.97124883621139e-20,0.952166870868525,0.884,0.661,1.02016042605833e-15,"atlas_1h_alh","CG31221"
"sdt",8.5692597716007e-20,1.30032333370275,0.614,0.288,1.09669386556946e-15,"atlas_1h_alh","sdt"
"RNASEK",9.31038731431696e-20,1.19467935151972,0.675,0.394,1.19154336848628e-15,"atlas_1h_alh","RNASEK"
"Dscam2",3.66074642372149e-19,1.30150617031417,0.703,0.414,4.68502327307876e-15,"atlas_1h_alh","Dscam2"
"Dsp1",3.87688064513508e-19,0.84773666411897,0.827,0.552,4.96163184964387e-15,"atlas_1h_alh","Dsp1"
"VhaM9.7-a",6.61917121663047e-19,1.45610981300786,0.434,0.149,8.47121532304367e-15,"atlas_1h_alh","VhaM9.7-a"
"RpL8",1.65248962847476e-18,-1.30005626565867,0.345,0.623,2.11485622652199e-14,"atlas_1h_alh","RpL8"
"rad",2.59327931032728e-18,1.48835391080665,0.498,0.209,3.31887886135685e-14,"atlas_1h_alh","rad"
"mt:Cyt-b",9.05080669067098e-18,-1.35018230681423,0.365,0.62,1.15832224027207e-13,"atlas_1h_alh","mt:Cyt-b"
"Ten-a",3.07814467718014e-17,1.01414913756677,0.767,0.539,3.93940955785515e-13,"atlas_1h_alh","Ten-a"
"Galphao",3.38779312532611e-17,-0.974485918586869,0.655,0.783,4.33569764179236e-13,"atlas_1h_alh","Galphao"
"RpS29",4.0235481115051e-17,-0.987965184727955,0.598,0.791,5.14933687310423e-13,"atlas_1h_alh","RpS29"
"Pitslre",4.36766836997684e-17,1.44934807906579,0.349,0.104,5.58974197989636e-13,"atlas_1h_alh","Pitslre"
"ringer",4.52419676309915e-17,1.50996993269533,0.277,0.06,5.7900670174143e-13,"atlas_1h_alh","ringer"
"fs(1)h",4.5970162664122e-17,1.05926726777282,0.651,0.348,5.88326141775434e-13,"atlas_1h_alh","fs(1)h"
"RpL36",5.34420302013529e-17,-0.991896163638001,0.554,0.761,6.83951102516915e-13,"atlas_1h_alh","RpL36"
"pum",7.61776235299062e-17,1.08991704733432,0.655,0.369,9.7492122593574e-13,"atlas_1h_alh","pum"
"Oda",9.67276739264581e-17,0.964125431505876,0.651,0.347,1.23792077091081e-12,"atlas_1h_alh","Oda"
"His3.3B",1.47373336990703e-16,-1.14620323812328,0.454,0.689,1.88608396680701e-12,"atlas_1h_alh","His3.3B"
"HDAC4",2.11345947769078e-16,1.48708714245886,0.386,0.136,2.70480543954866e-12,"atlas_1h_alh","HDAC4"
"RpL37A",2.18035650679312e-16,-1.066701160842,0.474,0.693,2.79042025739383e-12,"atlas_1h_alh","RpL37A"
"CG13585",2.39251097255147e-16,1.48876501656129,0.245,0.047,3.06193554267137e-12,"atlas_1h_alh","CG13585"
"RpS14a",2.51780912055887e-16,-1.32762383242021,0.313,0.573,3.22229211249124e-12,"atlas_1h_alh","RpS14a"
"msi",3.38800842931297e-16,0.933680531298492,0.783,0.559,4.33597318783473e-12,"atlas_1h_alh","msi"
"RpS23",3.71319339995487e-16,-1.34297904587734,0.301,0.571,4.75214491326224e-12,"atlas_1h_alh","RpS23"
"ATPsynF",4.07711119062795e-16,0.886485648618696,0.739,0.456,5.21788690176565e-12,"atlas_1h_alh","ATPsynF"
"COX8",5.21224789877731e-16,0.846890886125069,0.783,0.531,6.6706348608552e-12,"atlas_1h_alh","COX8"
"dysc",6.32708159586563e-16,0.956364541695235,0.723,0.448,8.09739902638883e-12,"atlas_1h_alh","dysc"
"nrm",6.62799013574058e-16,1.66847081605572,0.285,0.072,8.48250177572079e-12,"atlas_1h_alh","nrm"
"CG9705",1.10549541174603e-15,-1.81141285538063,0.088,0.354,1.41481302795257e-11,"atlas_1h_alh","CG9705"
"RpS4",1.29576797492985e-15,-1.04319755562101,0.418,0.689,1.65832385431522e-11,"atlas_1h_alh","RpS4"
"RpL15",1.4307303234318e-15,-1.04076113245979,0.442,0.689,1.83104866792802e-11,"atlas_1h_alh","RpL15"
"CG7630",1.725330948379e-15,0.78264701394348,0.839,0.569,2.20807854773544e-11,"atlas_1h_alh","CG7630"
"Hsp26",2.29179544000108e-15,-2.18407903293802,0.108,0.371,2.93303980411338e-11,"atlas_1h_alh","Hsp26"
"DOR",3.5240290500936e-15,1.32405987924843,0.365,0.126,4.51005237830979e-11,"atlas_1h_alh","DOR"
"CG42394",3.91930251038683e-15,1.44546103615363,0.281,0.073,5.01592335279307e-11,"atlas_1h_alh","CG42394"
"ct",5.1342430192933e-15,1.25450670259078,0.655,0.416,6.57080421609157e-11,"atlas_1h_alh","ct"
"beat-IIIb",6.23216075724816e-15,1.60362266471621,0.217,0.04,7.97591933712619e-11,"atlas_1h_alh","beat-IIIb"
"side",6.54854546033207e-15,1.67898899776655,0.353,0.128,8.38082848013298e-11,"atlas_1h_alh","side"
"Nlg3",1.03112491114479e-14,1.27980230991686,0.345,0.113,1.3196336612831e-10,"atlas_1h_alh","Nlg3"
"Hmx",1.08509222147365e-14,1.6050627578916,0.482,0.226,1.38870102504198e-10,"atlas_1h_alh","Hmx"
"nAChRalpha6",1.33826587182057e-14,0.749141681547711,0.928,0.8,1.71271266275596e-10,"atlas_1h_alh","nAChRalpha6"
"Hs3st-A",1.56238403617743e-14,1.1414356848114,0.402,0.147,1.99953908949987e-10,"atlas_1h_alh","Hs3st-A"
"RpS11",1.82583695715853e-14,-0.958094294573004,0.462,0.689,2.33670613777149e-10,"atlas_1h_alh","RpS11"
"CG17839",1.87865944969007e-14,1.56410335629284,0.173,0.023,2.40430836371335e-10,"atlas_1h_alh","CG17839"
"CG11000",2.14077483758914e-14,0.998734278717759,0.558,0.275,2.73976363714658e-10,"atlas_1h_alh","CG11000"
"RpS27A",3.3629270225844e-14,-0.946850640448763,0.498,0.701,4.30387400350351e-10,"atlas_1h_alh","RpS27A"
"RpS17",3.61239194031955e-14,-1.13860545555107,0.438,0.629,4.62313920522096e-10,"atlas_1h_alh","RpS17"
"RpL10",4.25824158656678e-14,-0.890017542731265,0.474,0.714,5.44969758248816e-10,"atlas_1h_alh","RpL10"
"Vha13",4.30619707816556e-14,1.06679983177498,0.566,0.311,5.51107102063629e-10,"atlas_1h_alh","Vha13"
"RpL36A",5.43675886655869e-14,-0.99893194045363,0.494,0.682,6.95796399742181e-10,"atlas_1h_alh","RpL36A"
"CG7945",8.37613725237193e-14,1.23817646307651,0.269,0.072,1.07197804555856e-09,"atlas_1h_alh","CG7945"
"RpL37a",1.04142390336273e-13,-0.967251992322952,0.51,0.695,1.33281431152362e-09,"atlas_1h_alh","RpL37a"
"Ptp99A",1.51538946337773e-13,1.31345005600812,0.683,0.454,1.93939543523082e-09,"atlas_1h_alh","Ptp99A"
"CG13364",2.30007501250056e-13,1.11976569621597,0.486,0.237,2.94363600099822e-09,"atlas_1h_alh","CG13364"
"para",2.42222645273471e-13,0.774356056146317,0.795,0.565,3.09996541420989e-09,"atlas_1h_alh","para"
"Tpi",2.56602013736029e-13,1.40198638716674,0.594,0.454,3.2839925717937e-09,"atlas_1h_alh","Tpi"
"Hrb87F",3.82342761174558e-13,-1.9886339184408,0.036,0.25,4.89322265751199e-09,"atlas_1h_alh","Hrb87F"
"ATPsynE",5.85069621880022e-13,0.838016912618975,0.526,0.256,7.48772102082053e-09,"atlas_1h_alh","ATPsynE"
"RpS15",6.38984560063195e-13,-0.937935537814206,0.526,0.716,8.17772439968877e-09,"atlas_1h_alh","RpS15"
"RpLP1",6.51709863346151e-13,-0.712423240063736,0.647,0.814,8.34058283110404e-09,"atlas_1h_alh","RpLP1"
"Act5C",7.98656017125825e-13,-1.22024638588156,0.301,0.535,1.02211997071763e-08,"atlas_1h_alh","Act5C"
"Pal2",8.38502819863139e-13,-1.62803893905534,0.133,0.375,1.07311590886085e-08,"atlas_1h_alh","Pal2"
"luna",8.72433077242452e-13,1.16873493189455,0.57,0.347,1.11653985225489e-08,"atlas_1h_alh","luna"
"Ubx",9.92689376800528e-13,1.38674763959817,0.185,0.034,1.27044386442932e-08,"atlas_1h_alh","Ubx"
"SK",1.59040208391275e-12,0.989594898823543,0.651,0.403,2.03539658699154e-08,"atlas_1h_alh","SK"
"RpL3",2.0482998583082e-12,-1.26396509934713,0.301,0.525,2.62141415866284e-08,"atlas_1h_alh","RpL3"
"CG2269",3.04383886417812e-12,-1.71478158292565,0.104,0.331,3.89550497837515e-08,"atlas_1h_alh","CG2269"
"CG5758",3.60652158193653e-12,-1.93211625158521,0.032,0.23,4.61562632056237e-08,"atlas_1h_alh","CG5758"
"dpr13",4.0907418187328e-12,1.45116877840521,0.414,0.196,5.23533137961424e-08,"atlas_1h_alh","dpr13"
