"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Pde6",0,2.28858618312606,0.615,0.151,0,"atlas_1h_alh","Pde6"
"CG14312",0,2.19815012913995,0.461,0.091,0,"atlas_1h_alh","CG14312"
"Rdh",0,2.18744724101839,0.592,0.14,0,"atlas_1h_alh","Rdh"
"Syn1",0,2.17768021873459,0.506,0.111,0,"atlas_1h_alh","Syn1"
"Tsp66E",0,2.03110752049135,0.692,0.226,0,"atlas_1h_alh","Tsp66E"
"Eip75B",0,2.01905269312413,0.759,0.29,0,"atlas_1h_alh","Eip75B"
"UQCR-11",0,1.92187963414233,0.741,0.282,0,"atlas_1h_alh","UQCR-11"
"Drep2",0,1.91783494591727,0.915,0.461,0,"atlas_1h_alh","Drep2"
"Cngl",0,1.91142885570056,0.834,0.442,0,"atlas_1h_alh","Cngl"
"CG30172",0,1.87807597617462,0.88,0.443,0,"atlas_1h_alh","CG30172"
"CG11000",0,1.87510818018065,0.633,0.245,0,"atlas_1h_alh","CG11000"
"cdc14",0,1.852280663124,0.569,0.179,0,"atlas_1h_alh","cdc14"
"CG17124",0,1.80921883259205,0.869,0.468,0,"atlas_1h_alh","CG17124"
"dlg1",0,1.73891337061953,0.702,0.295,0,"atlas_1h_alh","dlg1"
"sif",0,1.7307992084139,0.873,0.498,0,"atlas_1h_alh","sif"
"Hex-A",0,1.7179793652311,0.997,0.883,0,"atlas_1h_alh","Hex-A"
"bel",0,1.63924109463574,0.915,0.542,0,"atlas_1h_alh","bel"
"ATPsynF",0,1.52705439770696,0.778,0.416,0,"atlas_1h_alh","ATPsynF"
"cype",0,1.50712298117975,0.961,0.692,0,"atlas_1h_alh","cype"
"CG7630",0,1.39398639978418,0.868,0.561,0,"atlas_1h_alh","CG7630"
"nAChRalpha6",0,1.2018689788738,0.962,0.831,0,"atlas_1h_alh","nAChRalpha6"
"RpL41",0,-1.33400284624613,0.877,0.986,0,"atlas_1h_alh","RpL41"
"Hsp27",0,-2.45092301531665,0.172,0.652,0,"atlas_1h_alh","Hsp27"
"lncRNA:cherub",0,-4.87183806898899,0.024,0.801,0,"atlas_1h_alh","lncRNA:cherub"
"RpS4",1.10787264830252e-306,-2.0426297948882,0.22,0.675,1.41785541529756e-302,"atlas_1h_alh","RpS4"
"msi",4.48153476864991e-304,1.4793484133811,0.82,0.501,5.73546819691816e-300,"atlas_1h_alh","msi"
"fabp",3.28171798133869e-303,-2.96678050168487,0.055,0.538,4.19994267251726e-299,"atlas_1h_alh","fabp"
"RpL10",1.58618270322288e-291,-1.91161986862266,0.242,0.683,2.02999662358464e-287,"atlas_1h_alh","RpL10"
"cib",2.0654500966918e-286,-2.05853895424474,0.287,0.699,2.64336303374617e-282,"atlas_1h_alh","cib"
"COX8",1.61205196217927e-281,1.30955950654944,0.829,0.539,2.06310410119703e-277,"atlas_1h_alh","COX8"
"CG42750",1.14451139677472e-279,2.07191683028963,0.45,0.125,1.46474568559229e-275,"atlas_1h_alh","CG42750"
"CG6329",9.80360096257499e-278,-1.87122185002206,0.298,0.7,1.25466485119035e-273,"atlas_1h_alh","CG6329"
"RpLP1",6.72161065462615e-277,-1.50518828498785,0.433,0.779,8.60231731579055e-273,"atlas_1h_alh","RpLP1"
"alphaTub84B",6.65334188612757e-273,-1.78760119627644,0.28,0.691,8.51494694586607e-269,"atlas_1h_alh","alphaTub84B"
"Sytbeta",4.01245762927654e-266,2.00217993539172,0.39,0.094,5.13514327394811e-262,"atlas_1h_alh","Sytbeta"
"RpL37a",4.33202809035105e-266,-1.88436546462177,0.237,0.657,5.54412955003127e-262,"atlas_1h_alh","RpL37a"
"Dhit",1.10461524933213e-265,1.16108772550679,0.856,0.588,1.41368659609526e-261,"atlas_1h_alh","Dhit"
"mt:CoII",1.22535264381808e-265,-1.25781928417777,0.54,0.848,1.56820631355837e-261,"atlas_1h_alh","mt:CoII"
"RpL8",2.57260352750818e-262,-2.05788392173576,0.182,0.609,3.29241799450496e-258,"atlas_1h_alh","RpL8"
