"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"fax",3.27428467919987e-288,1.70141233303441,0.999,0.889,4.19042953243999e-284,"atlas_1h_alh","fax"
"Drep2",1.77040956446234e-197,1.82778843843372,0.911,0.509,2.2657701605989e-193,"atlas_1h_alh","Drep2"
"Proc",9.89895066273714e-190,-2.49524339906735,0.377,0.872,1.2668677058171e-185,"atlas_1h_alh","Proc"
"Bacc",5.5965861336603e-186,1.827136681927,0.876,0.596,7.16251093385845e-182,"atlas_1h_alh","Bacc"
"eEF1alpha1",6.43344853920776e-177,-1.90142852880433,0.52,0.865,8.2335274404781e-173,"atlas_1h_alh","eEF1alpha1"
"Cngl",2.25459234937565e-169,1.39360468999351,0.966,0.705,2.88542728873096e-165,"atlas_1h_alh","Cngl"
"mt:ATPase6",9.81669486963101e-169,-1.92646462017782,0.617,0.905,1.25634060941538e-164,"atlas_1h_alh","mt:ATPase6"
"bel",3.95332257641674e-156,1.56821377849177,0.908,0.589,5.05946223329815e-152,"atlas_1h_alh","bel"
"CG7630",7.28323654255859e-156,1.09994365020972,0.982,0.871,9.32108612716649e-152,"atlas_1h_alh","CG7630"
"sif",1.07065657660957e-155,1.35086209330116,0.969,0.736,1.37022628674492e-151,"atlas_1h_alh","sif"
"Tsp66E",2.4480155428771e-152,2.26855453065692,0.564,0.127,3.13297029177411e-148,"atlas_1h_alh","Tsp66E"
"CG46448",9.51426001222931e-152,2.50579755985367,0.487,0.076,1.21763499636511e-147,"atlas_1h_alh","CG46448"
"lncRNA:cherub",6.51238614243024e-151,-3.75356452272222,0.025,0.569,8.33455178508222e-147,"atlas_1h_alh","lncRNA:cherub"
"Pde6",2.64423412000296e-148,1.9812013546341,0.68,0.238,3.38409082677978e-144,"atlas_1h_alh","Pde6"
"ATPsynF",5.92414420450553e-147,1.09816415958703,0.968,0.786,7.58171975292617e-143,"atlas_1h_alh","ATPsynF"
"luna",5.55765837757414e-143,1.73587178816113,0.845,0.459,7.11269119161938e-139,"atlas_1h_alh","luna"
"nAChRalpha6",6.76325588912295e-130,1.34714484038883,0.922,0.675,8.65561488689955e-126,"atlas_1h_alh","nAChRalpha6"
"Hsp27",2.83794371804768e-128,-2.50811910133377,0.132,0.629,3.63200037035742e-124,"atlas_1h_alh","Hsp27"
"CG42394",7.13674415077735e-127,1.64354146296555,0.855,0.645,9.13360516416485e-123,"atlas_1h_alh","CG42394"
"mt:CoI",9.90954537699915e-127,-1.10823582745138,0.839,0.966,1.26822361734835e-122,"atlas_1h_alh","mt:CoI"
"Dsp1",4.04353943204741e-126,1.48817926114495,0.826,0.473,5.17492176513428e-122,"atlas_1h_alh","Dsp1"
"Hsp23",2.74126033270883e-124,-3.08037880349573,0.04,0.514,3.50826497380076e-120,"atlas_1h_alh","Hsp23"
"UQCR-6.4",3.52154404563766e-123,1.05261782152414,0.961,0.792,4.50687206960708e-119,"atlas_1h_alh","UQCR-6.4"
