"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"AstC-R2.1",2.98399888507582e-06,-0.401133672877877,0.122,0.245,0.0381892177312003,"atlas_48h_alh","AstC-R2"
"ATPsynD.1",3.00582814887975e-06,-0.211185079166834,0.359,0.576,0.038468588649363,"atlas_48h_alh","ATPsynD"
"CG42750.1",3.19103679476536e-06,-0.380287115144175,0.127,0.253,0.0408388888994071,"atlas_48h_alh","CG42750"
"RpS17.2",3.32389067864693e-06,-0.201969104804438,0.449,0.673,0.0425391529053235,"atlas_48h_alh","RpS17"
"mt:CoIII.1",3.67851014363327e-06,-0.222675321125481,0.829,0.938,0.0470775728182186,"atlas_48h_alh","mt:CoIII"
"COX7C.1",3.68971811458741e-06,-0.138113586661971,0.429,0.671,0.0472210124304897,"atlas_48h_alh","COX7C"
"bsk.1",3.76444299299136e-06,-0.210549791419333,0.152,0.291,0.0481773414243034,"atlas_48h_alh","bsk"
"ND-B17.2.1",3.84955690817793e-06,-0.242009295242578,0.108,0.229,0.0492666293108611,"atlas_48h_alh","ND-B17.2"
"eIF1A",3.86485985696638e-06,-0.321964672941153,0.097,0.206,0.0494624764494558,"atlas_48h_alh","eIF1A"
"Cp110.1",4.34792647227411e-06,-0.184663688017053,0.152,0.293,0.055644762992164,"atlas_48h_alh","Cp110"
"Rpt2.2",4.5874518599088e-06,-0.210943084471912,0.15,0.288,0.0587102089031128,"atlas_48h_alh","Rpt2"
"inaE.1",4.71263692156924e-06,-0.171420151152726,0.127,0.253,0.0603123273222431,"atlas_48h_alh","inaE"
"CG16779.1",4.88616508128217e-06,-0.288958566287586,0.083,0.188,0.0625331407102492,"atlas_48h_alh","CG16779"
"RpL17.1",4.9973019677267e-06,-0.178136523653534,0.419,0.658,0.0639554705829663,"atlas_48h_alh","RpL17"
"Rbp6.1",5.20769406578204e-06,-0.371623250020121,0.629,0.835,0.0666480686538785,"atlas_48h_alh","Rbp6"
"RhoGAP19D",5.21241834388785e-06,-0.383042535853311,0.085,0.187,0.0667085299650767,"atlas_48h_alh","RhoGAP19D"
"Tsp42Ej.1",5.45249590660047e-06,-0.432201373230574,0.097,0.203,0.0697810426126728,"atlas_48h_alh","Tsp42Ej"
"Pp1alpha-96A",5.7887524492795e-06,-0.199730581361347,0.134,0.264,0.074084453845879,"atlas_48h_alh","Pp1alpha-96A"
"hrg.1",5.7954581569217e-06,-0.229846912868427,0.085,0.192,0.0741702734922839,"atlas_48h_alh","hrg"
"fz2.1",6.26209941222213e-06,-0.222283964027751,0.618,0.82,0.0801423482776188,"atlas_48h_alh","fz2"
"kek3.1",6.29937152930051e-06,-0.400112510508083,0.118,0.234,0.0806193568319879,"atlas_48h_alh","kek3"
"CG34132.1",7.41958262979295e-06,-0.385651835196232,0.094,0.199,0.0949558184960902,"atlas_48h_alh","CG34132"
"mt:ND1.2",7.67569711075231e-06,-0.227784319905972,0.15,0.282,0.0982335716234081,"atlas_48h_alh","mt:ND1"
"Gbeta13F",7.7508831221857e-06,-0.196186821795981,0.8,0.947,0.0991958021977326,"atlas_48h_alh","Gbeta13F"
"CG46301.1",7.78401051778506e-06,-0.289684009787659,0.23,0.4,0.0996197666066132,"atlas_48h_alh","CG46301"
"Atg13",8.20071705646398e-06,-0.234149820641488,0.083,0.184,0.104952776888626,"atlas_48h_alh","Atg13"
"trn.2",8.67668353136696e-06,-0.365713271194393,0.235,0.382,0.111044195834434,"atlas_48h_alh","trn"
"CG4587.1",8.99568060394294e-06,-0.25759516665037,0.094,0.199,0.115126720369262,"atlas_48h_alh","CG4587"
"bru3.1",9.20440159467537e-06,-0.334332399865475,0.445,0.655,0.117797931608655,"atlas_48h_alh","bru3"
"stg.2",9.48286034450202e-06,-0.237135134627527,0.092,0.199,0.121361646688937,"atlas_48h_alh","stg"
"mts.1",9.74055882390781e-06,-0.125517897875918,0.332,0.544,0.124659671828372,"atlas_48h_alh","mts"
"Syx1A.1",9.93347576092368e-06,-0.253489039984935,0.431,0.658,0.127128622788301,"atlas_48h_alh","Syx1A"
"RpL32.1",1.02330898076389e-05,-0.222187561781849,0.581,0.799,0.130963083358163,"atlas_48h_alh","RpL32"
"Fas2.1",1.02804734773699e-05,-0.324613160228139,0.5,0.671,0.13156949956338,"atlas_48h_alh","Fas2"
"bun.1",1.03032839768801e-05,-0.153412372637356,0.419,0.667,0.131861428336112,"atlas_48h_alh","bun"
"CG13751.1",1.0413168640832e-05,-0.190639345095719,0.228,0.396,0.133267732265368,"atlas_48h_alh","CG13751"
"GluRIB.1",1.05052241622868e-05,-0.292032772194376,0.366,0.544,0.134445858828946,"atlas_48h_alh","GluRIB"
"UQCR-6.4.1",1.05794496778555e-05,-0.174374800914747,0.525,0.773,0.135395796977194,"atlas_48h_alh","UQCR-6.4"
"Drak",1.10088307485497e-05,-0.251395962909272,0.083,0.185,0.140891015919939,"atlas_48h_alh","Drak"
"mt:ND4.2",1.15479505287176e-05,-0.15772144944416,0.311,0.51,0.147790670866528,"atlas_48h_alh","mt:ND4"
"tun.1",1.16531441516169e-05,-0.26444162388128,0.085,0.186,0.149136938852393,"atlas_48h_alh","tun"
"eIF1.1",1.17528864000257e-05,-0.240767709111048,0.138,0.262,0.150413440147529,"atlas_48h_alh","eIF1"
"CG43759",1.18682093762955e-05,-0.246479039601574,0.129,0.249,0.15188934359783,"atlas_48h_alh","CG43759"
"MESK2.1",1.26051767728366e-05,-0.113079595971365,0.357,0.577,0.161321052338763,"atlas_48h_alh","MESK2"
"RpS4.2",1.27353509943598e-05,-0.190066934443484,0.541,0.77,0.162987022025817,"atlas_48h_alh","RpS4"
"kcc.1",1.31736921040618e-05,-0.228265380530767,0.191,0.335,0.168596911547783,"atlas_48h_alh","kcc"
"lqf.1",1.33785405517887e-05,-0.165365761400169,0.32,0.52,0.171218561981792,"atlas_48h_alh","lqf"
"RpL28.1",1.34589906768282e-05,-0.208536400451064,0.516,0.744,0.172248162682047,"atlas_48h_alh","RpL28"
"CG43324.1",1.38805225286639e-05,-0.280743025524381,0.099,0.204,0.17764292732184,"atlas_48h_alh","CG43324"
"Vha55.1",1.41677387169407e-05,-0.184272160114617,0.385,0.585,0.181318720099407,"atlas_48h_alh","Vha55"
"Sar1",1.70419646160732e-05,-0.117790716525449,0.127,0.247,0.218103063156505,"atlas_48h_alh","Sar1"
"CG34250",1.7109448905483e-05,-0.162309615222938,0.099,0.206,0.218966727092372,"atlas_48h_alh","CG34250"
"Paip2.1",1.71818524590302e-05,-0.143468986201677,0.127,0.247,0.219893347770668,"atlas_48h_alh","Paip2"
"glec.1",1.78537421870649e-05,-0.23914205168802,0.147,0.277,0.228492192510057,"atlas_48h_alh","glec"
"Toll-6.1",1.80829669705305e-05,-0.404353268366195,0.353,0.541,0.23142581128885,"atlas_48h_alh","Toll-6"
"Con.1",1.8224106220224e-05,-0.350536466919582,0.164,0.289,0.233232111406427,"atlas_48h_alh","Con"
"RpL12.1",1.85464703708063e-05,-0.197632132112563,0.442,0.647,0.237357727805579,"atlas_48h_alh","RpL12"
"CG44242.1",1.92343481238924e-05,-0.182580378288213,0.159,0.29,0.246161187289576,"atlas_48h_alh","CG44242"
"Sem1.1",2.04315485572888e-05,-0.116657877330471,0.224,0.392,0.261482958436182,"atlas_48h_alh","Sem1"
"pan.1",2.19289827837628e-05,-0.182741988252419,0.157,0.284,0.280647121666597,"atlas_48h_alh","pan"
