"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"lncRNA:cherub",0,-4.74413027585272,0.019,0.7,0,"atlas_1h_alh","lncRNA:cherub"
"Hex-A",1.47192512762149e-305,1.40975922274273,0.991,0.835,1.88376977832998e-301,"atlas_1h_alh","Hex-A"
"Cngl",3.25095489982982e-262,1.80626538641227,0.86,0.448,4.1605720808022e-258,"atlas_1h_alh","Cngl"
"Bacc",1.87838278879259e-249,1.74399905084294,0.846,0.518,2.40395429309676e-245,"atlas_1h_alh","Bacc"
"CG30172",3.15121953331975e-237,1.46736117703162,0.865,0.479,4.03293075874262e-233,"atlas_1h_alh","CG30172"
"betaTub56D",1.03087464548264e-233,-1.39197212023656,0.672,0.899,1.31931337128868e-229,"atlas_1h_alh","betaTub56D"
"Drep2",4.29346898620741e-233,1.54929429012384,0.846,0.431,5.49478160854824e-229,"atlas_1h_alh","Drep2"
"eEF1alpha1",6.33541138564777e-225,-2.26029481496132,0.221,0.685,8.10805949135201e-221,"atlas_1h_alh","eEF1alpha1"
"UQCR-11",2.35302413251377e-220,1.65389841428563,0.752,0.316,3.01140028479112e-216,"atlas_1h_alh","UQCR-11"
"CG46448",5.76678360422158e-220,1.37035869773287,0.958,0.832,7.38032965668278e-216,"atlas_1h_alh","CG46448"
"sif",5.47839447923284e-216,1.55004015497843,0.863,0.476,7.01124925452218e-212,"atlas_1h_alh","sif"
"mt:CoI",9.67799849709932e-206,-1.44737216377418,0.563,0.857,1.23859024765877e-201,"atlas_1h_alh","mt:CoI"
"cype",2.40811089518893e-197,1.14363149759767,0.934,0.706,3.08190032366279e-193,"atlas_1h_alh","cype"
"Hsp27",4.95029642766223e-186,-2.65452918481265,0.127,0.557,6.33538936812212e-182,"atlas_1h_alh","Hsp27"
"Pde6",2.69928570102162e-183,1.8685878078855,0.546,0.146,3.45454584016747e-179,"atlas_1h_alh","Pde6"
"Tsp66E",1.35152535102355e-182,1.75643781259251,0.622,0.217,1.72968214423993e-178,"atlas_1h_alh","Tsp66E"
"Rdh",2.58902281409676e-174,1.85674279504149,0.521,0.142,3.31343139748103e-170,"atlas_1h_alh","Rdh"
"crol",3.53585244069847e-174,1.6529792651724,0.592,0.192,4.52518395360591e-170,"atlas_1h_alh","crol"
"fabp",6.8813993030988e-174,-2.67294926538401,0.1,0.509,8.80681482810584e-170,"atlas_1h_alh","fabp"
"bel",1.2478052430388e-169,1.23280394331905,0.854,0.528,1.59694115004106e-165,"atlas_1h_alh","bel"
"nAChRalpha6",2.28764551979202e-169,0.990526819571263,0.961,0.8,2.92772873622982e-165,"atlas_1h_alh","nAChRalpha6"
"Eip75B",4.62323868117787e-169,1.65219187931554,0.658,0.269,5.91682086417144e-165,"atlas_1h_alh","Eip75B"
"cib",1.12845409469918e-168,-2.37555024046679,0.196,0.593,1.44419555039602e-164,"atlas_1h_alh","cib"
"msi",8.88911669408635e-168,1.56992782862127,0.827,0.484,1.13762915450917e-163,"atlas_1h_alh","msi"
"CG14312",3.52519376827868e-161,1.78645508710654,0.462,0.112,4.51154298464305e-157,"atlas_1h_alh","CG14312"
"CG17124",1.42003709488246e-155,1.39321889404369,0.754,0.398,1.81736347403057e-151,"atlas_1h_alh","CG17124"
"Syx1A",3.64264717484797e-152,1.10947650395371,0.861,0.571,4.66185985437043e-148,"atlas_1h_alh","Syx1A"
"CG7630",7.24213445303996e-152,1.06437743525723,0.865,0.586,9.26848367300054e-148,"atlas_1h_alh","CG7630"
"cdc14",9.43896827685063e-152,1.64676202556667,0.542,0.178,1.20799916007134e-147,"atlas_1h_alh","cdc14"
"mt:CoII",1.5144964098862e-151,-1.19461764243957,0.596,0.838,1.93825250537236e-147,"atlas_1h_alh","mt:CoII"
"mt:ATPase6",4.73702486149033e-149,-1.67388216351588,0.328,0.677,6.06244441773532e-145,"atlas_1h_alh","mt:ATPase6"
"Rdl",8.53610036861588e-147,0.943701839958393,0.894,0.676,1.09245012517546e-142,"atlas_1h_alh","Rdl"
"CG11000",9.09688886756899e-144,1.56127193867724,0.62,0.263,1.16421983727148e-139,"atlas_1h_alh","CG11000"
"Dhit",5.05070766762733e-143,1.08148986495732,0.837,0.543,6.46389567302945e-139,"atlas_1h_alh","Dhit"
"ATPsynF",1.44090706646925e-142,1.14559080596489,0.794,0.471,1.84407286366735e-138,"atlas_1h_alh","ATPsynF"
"sdt",8.97849254148869e-138,1.41703886523296,0.626,0.267,1.14906747545972e-133,"atlas_1h_alh","sdt"
"kek1",1.49691205693372e-135,1.8082588617669,0.511,0.183,1.91574805046378e-131,"atlas_1h_alh","kek1"
"nrv3",1.48186270894209e-132,-0.926175231737441,0.804,0.918,1.89648789490409e-128,"atlas_1h_alh","nrv3"
"lncRNA:noe",1.95112164985425e-132,-3.16387930686977,0.037,0.374,2.49704548748347e-128,"atlas_1h_alh","lncRNA:noe"
"His4r",1.56728858916252e-130,0.909988538728403,0.856,0.618,2.00581593641019e-126,"atlas_1h_alh","His4r"
"Syn1",1.57633494892627e-125,1.71220835963428,0.433,0.126,2.01739346763584e-121,"atlas_1h_alh","Syn1"
"mt:lrRNA",1.11586309541474e-123,-1.1346176737641,0.575,0.825,1.42808158951179e-119,"atlas_1h_alh","mt:lrRNA"
"Nlg3",6.27041264257424e-122,1.70564579877752,0.453,0.146,8.02487409996652e-118,"atlas_1h_alh","Nlg3"
"COX8",7.45722793354183e-122,0.998144873077715,0.822,0.547,9.54376030934684e-118,"atlas_1h_alh","COX8"
"Bsg",3.00684743588601e-121,1.09479177813994,0.75,0.427,3.84816334844692e-117,"atlas_1h_alh","Bsg"
"Df31",1.55674656099879e-120,-1.65623560111425,0.261,0.583,1.99232424876625e-116,"atlas_1h_alh","Df31"
"Hsp23",3.63948063732695e-120,-2.60762865748403,0.062,0.378,4.65780731965103e-116,"atlas_1h_alh","Hsp23"
"lncRNA:CR40469",1.30207398816236e-118,-1.94120441120868,0.102,0.45,1.66639429005018e-114,"atlas_1h_alh","lncRNA:CR40469"
"CG6329",3.95869243578562e-118,-1.42831509234659,0.389,0.67,5.06633457931843e-114,"atlas_1h_alh","CG6329"
"CG2269",9.71839247026669e-115,-2.03588473783287,0.184,0.506,1.24375986834473e-110,"atlas_1h_alh","CG2269"
"Vha14-1",1.64147267120867e-107,1.30553240230633,0.508,0.2,2.10075672461285e-103,"atlas_1h_alh","Vha14-1"
"Dsp1",2.10393706033414e-107,0.990016631347819,0.809,0.543,2.69261864981564e-103,"atlas_1h_alh","Dsp1"
"dlg1",2.94316428340605e-105,1.24145183502483,0.612,0.297,3.76666164990306e-101,"atlas_1h_alh","dlg1"
"Tpi",1.59860969272929e-104,1.66532502968249,0.645,0.476,2.04590068475495e-100,"atlas_1h_alh","Tpi"
"VhaM9.7-a",1.13917941374781e-97,1.34941460027992,0.446,0.166,1.45792181371445e-93,"atlas_1h_alh","VhaM9.7-a"
"dpr13",2.02421610179286e-97,1.57990809385636,0.52,0.233,2.5905917670745e-93,"atlas_1h_alh","dpr13"
"Rap1",9.64386577430885e-96,1.13453843503424,0.579,0.282,1.23422194179605e-91,"atlas_1h_alh","Rap1"
"fs(1)h",1.56096397103925e-95,1.12009976629093,0.608,0.301,1.99772169013603e-91,"atlas_1h_alh","fs(1)h"
"levy",2.07365598454648e-95,0.990019340840498,0.689,0.393,2.65386492902258e-91,"atlas_1h_alh","levy"
"Galphao",1.29236282033044e-93,-1.00677622255942,0.59,0.765,1.65396593745889e-89,"atlas_1h_alh","Galphao"
"COX5A",1.76802869794877e-93,1.04732348672722,0.643,0.358,2.26272312763484e-89,"atlas_1h_alh","COX5A"
"Pglym78",4.22594390368583e-92,1.51932166990674,0.643,0.479,5.40836300793713e-88,"atlas_1h_alh","Pglym78"
"CG42613",1.87808738712228e-91,1.02547246688282,0.739,0.461,2.40357623803909e-87,"atlas_1h_alh","CG42613"
"Act5C",2.70045840576895e-91,-1.44448671281865,0.274,0.552,3.4560466677031e-87,"atlas_1h_alh","Act5C"
