"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"lncRNA:cherub",9.81833632446233e-80,-4.16543747099476,0.04,0.689,1.25655068280469e-75,"atlas_1h_alh","lncRNA:cherub"
"Hsp23",8.76951377301873e-56,-3.97582594752869,0.043,0.544,1.12232237267094e-51,"atlas_1h_alh","Hsp23"
"mt:CoI",1.25366585667674e-55,-1.45014755883997,0.533,0.892,1.60444156337489e-51,"atlas_1h_alh","mt:CoI"
"Hsp27",4.94516768587258e-55,-3.47956082993599,0.062,0.559,6.32882560437973e-51,"atlas_1h_alh","Hsp27"
"fabp",2.7390165344967e-53,-2.69794176514884,0.087,0.585,3.50539336084888e-49,"atlas_1h_alh","fabp"
"eEF1alpha1",9.8505733093914e-52,-1.48008054530918,0.498,0.834,1.26067637213591e-47,"atlas_1h_alh","eEF1alpha1"
"Bacc",4.55600834503676e-51,1.57541753153369,0.802,0.516,5.83077947997805e-47,"atlas_1h_alh","Bacc"
"pum",5.59597898394427e-50,1.56458348704593,0.817,0.514,7.16173390365187e-46,"atlas_1h_alh","pum"
"Hex-A",4.92220928134528e-49,1.45268841019841,0.916,0.74,6.29944343826569e-45,"atlas_1h_alh","Hex-A"
"mt:ATPase6",3.98216802642611e-48,-1.81565717542819,0.331,0.738,5.09637864022014e-44,"atlas_1h_alh","mt:ATPase6"
"cdc14",3.63883810170722e-43,1.88017794884385,0.508,0.16,4.6569850025649e-39,"atlas_1h_alh","cdc14"
"bel",1.38119560221894e-42,1.2629737781397,0.87,0.569,1.7676541317198e-38,"atlas_1h_alh","bel"
"Eip75B",1.64115243491398e-42,1.69157351463397,0.616,0.238,2.10034688620292e-38,"atlas_1h_alh","Eip75B"
"His4r",1.89067195396065e-42,1.18028921076071,0.895,0.666,2.41968196667883e-38,"atlas_1h_alh","His4r"
"CG30172",5.06087672106017e-42,1.04543651906143,0.923,0.735,6.47691002761281e-38,"atlas_1h_alh","CG30172"
"mt:CoII",1.73905716282428e-40,-1.17446621476529,0.613,0.868,2.22564535698252e-36,"atlas_1h_alh","mt:CoII"
"CG42337",4.03084870132338e-38,1.92679510068753,0.415,0.111,5.15868016795367e-34,"atlas_1h_alh","CG42337"
"lncRNA:CR40469",8.60963734211812e-38,-2.27425124096391,0.08,0.491,1.10186138704428e-33,"atlas_1h_alh","lncRNA:CR40469"
"UQCR-11",2.82467735938075e-37,1.38659132372635,0.703,0.381,3.61502208453548e-33,"atlas_1h_alh","UQCR-11"
"cib",5.42441336184641e-37,-1.69692614034248,0.35,0.696,6.94216422049104e-33,"atlas_1h_alh","cib"
"nAChRalpha6",3.95374997816756e-36,1.0745190423936,0.916,0.715,5.06000922205884e-32,"atlas_1h_alh","nAChRalpha6"
"CG42394",1.83790330909693e-35,1.81331762480269,0.687,0.375,2.35214865498225e-31,"atlas_1h_alh","CG42394"
"CG14312",2.75725312529041e-35,1.53505066308272,0.474,0.151,3.52873254974667e-31,"atlas_1h_alh","CG14312"
