"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Hsp23",1.54328320580703e-19,-4.76910687034369,0.104,0.949,1.97509384679183e-15,"atlas_1h_alh","Hsp23"
"bel",2.98748684557501e-13,1.49242649424063,0.979,0.782,3.8233856649669e-09,"atlas_1h_alh","bel"
"eEF1alpha1",9.34332009851552e-13,-1.57245848840324,0.75,0.936,1.19575810620802e-08,"atlas_1h_alh","eEF1alpha1"
"Eip75B",3.45427856506004e-12,1.9806036914617,0.854,0.41,4.42078570756384e-08,"atlas_1h_alh","Eip75B"
"luna",4.65337790011301e-12,1.99130915167987,0.917,0.59,5.95539303656463e-08,"atlas_1h_alh","luna"
"mt:CoI",1.51454735663696e-11,-1.48373560489836,0.792,0.987,1.93831770702399e-07,"atlas_1h_alh","mt:CoI"
"Bacc",3.46880246135505e-10,1.70901116897152,0.875,0.679,4.4393733900422e-06,"atlas_1h_alh","Bacc"
"Dsp1",9.52185492797512e-10,1.51911656127552,0.896,0.564,1.21860699368226e-05,"atlas_1h_alh","Dsp1"
"CG17124",1.04603082124586e-09,1.66209854869154,0.854,0.551,1.33871024503046e-05,"atlas_1h_alh","CG17124"
"Rap1",1.50182920861271e-09,1.27130864003061,0.938,0.654,1.92204102118255e-05,"atlas_1h_alh","Rap1"
"Msp300",1.68141868179623e-09,-1.62307857636036,0.729,0.974,2.15187962896282e-05,"atlas_1h_alh","Msp300"
"fabp",2.60502693352398e-09,-2.06780164281901,0.167,0.718,3.33391346952399e-05,"atlas_1h_alh","fabp"
"Uch",2.82688022359135e-09,-2.09311509292644,0.188,0.705,3.6178413101522e-05,"atlas_1h_alh","Uch"
"Act5C",3.30418633725105e-09,-1.28687551251687,0.625,0.923,4.22869767441389e-05,"atlas_1h_alh","Act5C"
"Vha26",1.65274192201189e-08,-1.6181825677842,0.312,0.782,0.000211517911179082,"atlas_1h_alh","Vha26"
"sif",2.06495730682872e-08,1.79882933705284,0.854,0.526,0.00026427323612794,"atlas_1h_alh","sif"
"mt:CoII",2.67108714706764e-08,-1.26534347098043,0.75,0.987,0.000341845733081716,"atlas_1h_alh","mt:CoII"
"CG13364",2.92447232113782e-08,1.47910429093582,0.854,0.667,0.000374273967659218,"atlas_1h_alh","CG13364"
"Liprin-gamma",3.19690382888373e-08,1.4921402620475,0.917,0.756,0.00040913975202054,"atlas_1h_alh","Liprin-gamma"
"Pkc53E",4.33591423010258e-08,1.62461939536689,0.896,0.692,0.000554910303168528,"atlas_1h_alh","Pkc53E"
"RpII18",4.88264563311567e-08,1.8148991087557,0.604,0.167,0.000624880988126143,"atlas_1h_alh","RpII18"
"Drep2",9.54123764196458e-08,1.488106340211,0.812,0.641,0.00122108759341863,"atlas_1h_alh","Drep2"
"crol",1.07292507782742e-07,1.72835341301306,0.708,0.346,0.00137312951460353,"atlas_1h_alh","crol"
