"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"rad",7.83448637941509e-130,2.56796209753715,0.979,0.393,1.00265756683754e-125,"atlas_1h_alh","rad"
"lncRNA:cherub",9.23877287866803e-113,-5.99336561395962,0.013,0.887,1.18237815301194e-108,"atlas_1h_alh","lncRNA:cherub"
"UQCR-11",8.84777032278221e-105,2.3237728098146,0.836,0.255,1.13233764590967e-100,"atlas_1h_alh","UQCR-11"
"VhaM9.7-a",1.64466801979761e-93,2.38801238796642,0.563,0.096,2.10484613173698e-89,"atlas_1h_alh","VhaM9.7-a"
"CG14312",7.2022540629378e-86,2.31281388101772,0.559,0.103,9.21744474974780e-82,"atlas_1h_alh","CG14312"
"Nlg3",8.07648743571589e-84,2.02574091073318,0.592,0.113,1.03362886202292e-79,"atlas_1h_alh","Nlg3"
"Drep2",6.72620684736566e-80,1.97465011371802,0.903,0.395,8.60819952325857e-76,"atlas_1h_alh","Drep2"
"kek1",3.55183794684638e-77,1.97832673102386,0.777,0.257,4.545642204374e-73,"atlas_1h_alh","kek1"
"Ac78C",4.01658424319137e-73,1.9715599083902,0.668,0.174,5.14042451443632e-69,"atlas_1h_alh","Ac78C"
"nrm",2.23105250281996e-70,2.43723138763505,0.399,0.06,2.85530099310899e-66,"atlas_1h_alh","nrm"
"dlg1",6.28038450775674e-70,1.93943218516121,0.756,0.257,8.03763609302708e-66,"atlas_1h_alh","dlg1"
"Rdh",1.27181489581614e-66,2.03507047531342,0.538,0.122,1.62766870366549e-62,"atlas_1h_alh","Rdh"
"cib",6.85703715879755e-65,-3.60562416567494,0.151,0.729,8.7756361558291e-61,"atlas_1h_alh","cib"
"HDAC4",1.24015347364893e-60,1.82698447955806,0.58,0.151,1.5871484155759e-56,"atlas_1h_alh","HDAC4"
"RNASEK",1.54819404927436e-60,1.82646608220633,0.702,0.241,1.98137874426133e-56,"atlas_1h_alh","RNASEK"
"Rab27",3.84539594931703e-59,2.34434125295404,0.534,0.144,4.92133773593594e-55,"atlas_1h_alh","Rab27"
"Hsp27",8.14983829428298e-58,-4.34217531942067,0.034,0.619,1.04301630490234e-53,"atlas_1h_alh","Hsp27"
"sdt",1.49847857328366e-56,1.66280015706147,0.702,0.24,1.91775287808843e-52,"atlas_1h_alh","sdt"
"CG41128",4.83739931676632e-56,1.78187343079204,0.676,0.239,6.19090364559753e-52,"atlas_1h_alh","CG41128"
"Hex-A",5.09615206414117e-56,1.52556461081753,0.954,0.677,6.52205541168787e-52,"atlas_1h_alh","Hex-A"
"CG32683",4.92321539653033e-55,2.00644852972987,0.29,0.038,6.30073106447952e-51,"atlas_1h_alh","CG32683"
"GstD11",2.07721484944148e-54,1.7601056658342,0.168,0.009,2.65841956431521e-50,"atlas_1h_alh","GstD11"
"lncRNA:CR40469",4.79102164916793e-54,-2.75097892731248,0.097,0.667,6.13154950660511e-50,"atlas_1h_alh","lncRNA:CR40469"
"sick",1.74921601370983e-53,1.70244415319355,0.664,0.226,2.23864665434584e-49,"atlas_1h_alh","sick"
"ATPsynF",2.18867524865721e-52,1.63178722028402,0.748,0.321,2.8010665832315e-48,"atlas_1h_alh","ATPsynF"
"CG17124",2.01572405202279e-51,1.32695534510968,0.908,0.542,2.57972364177877e-47,"atlas_1h_alh","CG17124"
"His3.3B",4.10485609656176e-51,-1.97823061762124,0.34,0.772,5.25339483237974e-47,"atlas_1h_alh","His3.3B"
"CG13920",1.80642835494715e-50,1.76454727439129,0.336,0.056,2.31186700866136e-46,"atlas_1h_alh","CG13920"
"Cngl",1.98033367111482e-50,1.64148732060467,0.824,0.443,2.53443103229275e-46,"atlas_1h_alh","Cngl"
"CG7630",1.18015323044206e-49,1.47917494482494,0.836,0.43,1.51036010431974e-45,"atlas_1h_alh","CG7630"
"cype",1.36321591882587e-49,1.36826329054582,0.882,0.579,1.74464373291334e-45,"atlas_1h_alh","cype"
"Syx1A",3.17682730561385e-49,1.34475899065934,0.853,0.459,4.06570358572461e-45,"atlas_1h_alh","Syx1A"
"Rap1",4.73205528961001e-49,1.56285810994021,0.706,0.276,6.05608435964289e-45,"atlas_1h_alh","Rap1"
"mRpS14",2.17553307616896e-48,1.67570271148134,0.29,0.043,2.78424723088103e-44,"atlas_1h_alh","mRpS14"
"fabp",2.97334829692339e-48,-3.36975944474749,0.063,0.578,3.80529115040255e-44,"atlas_1h_alh","fabp"
"Vha14-1",7.14399912057937e-47,1.68672359386281,0.517,0.147,9.14289007451747e-43,"atlas_1h_alh","Vha14-1"
"COX5B",5.9072713794959e-46,1.47180500556267,0.639,0.22,7.56012591147886e-42,"atlas_1h_alh","COX5B"
"CG42394",8.30194187462582e-46,1.62882798938916,0.269,0.039,1.06248252111461e-41,"atlas_1h_alh","CG42394"
"ND-MLRQ",3.93144784918723e-44,1.47060000776162,0.676,0.253,5.03146695738982e-40,"atlas_1h_alh","ND-MLRQ"
"CanB",6.10210543843884e-44,1.60877148372158,0.605,0.224,7.80947454011403e-40,"atlas_1h_alh","CanB"
"Vha13",1.96953924293195e-43,1.53898800068667,0.643,0.249,2.52061632310431e-39,"atlas_1h_alh","Vha13"
"bel",4.7796981111604e-43,1.34406729966963,0.853,0.525,6.11705764266308e-39,"atlas_1h_alh","bel"
"levy",9.95445661991557e-43,1.41154523320354,0.681,0.291,1.27397135821679e-38,"atlas_1h_alh","levy"
"Syn1",1.08501758314468e-42,1.85028100842811,0.336,0.07,1.38860550290856e-38,"atlas_1h_alh","Syn1"
"CG30172",1.93785399387328e-42,1.65163940796132,0.555,0.186,2.48006554135903e-38,"atlas_1h_alh","CG30172"
"SdhC",5.1560488249468e-41,1.5866820827056,0.399,0.098,6.59871128616691e-37,"atlas_1h_alh","SdhC"
"Bacc",5.34112747433057e-41,1.26608862305742,0.87,0.576,6.83557494164826e-37,"atlas_1h_alh","Bacc"
"hdc",5.54672638881108e-40,-2.97469170621308,0.067,0.538,7.09870043240043e-36,"atlas_1h_alh","hdc"
"betaTub56D",7.48324827147732e-40,-1.06652857934509,0.744,0.908,9.57706113783667e-36,"atlas_1h_alh","betaTub56D"
"CG45263",1.24419120528959e-39,1.42518911005379,0.761,0.425,1.59231590452962e-35,"atlas_1h_alh","CG45263"
"Bsg",6.61748664757724e-39,1.32107373520953,0.765,0.373,8.46905941156936e-35,"atlas_1h_alh","Bsg"
"COX5A",7.46418356091697e-39,1.39909764406261,0.647,0.26,9.55266212126154e-35,"atlas_1h_alh","COX5A"
"COX8",8.52235915312821e-38,1.27915213843342,0.84,0.48,1.09069152441735e-33,"atlas_1h_alh","COX8"
"CG3961",1.78156170037855e-37,1.47472966451708,0.357,0.083,2.28004266414446e-33,"atlas_1h_alh","CG3961"
"HmgZ",3.33536725604421e-37,1.75838613347304,0.702,0.372,4.26860301428538e-33,"atlas_1h_alh","HmgZ"
"ringer",5.86257047734935e-37,1.54444040101132,0.315,0.067,7.5029176969117e-33,"atlas_1h_alh","ringer"
"His4r",1.47363543621675e-36,1.14166295508052,0.849,0.557,1.8859586312702e-32,"atlas_1h_alh","His4r"
"dysc",1.6833844055124e-36,1.02880123019956,0.908,0.715,2.15439536217477e-32,"atlas_1h_alh","dysc"
"Trx-2",2.33745703374688e-36,1.43564924813843,0.525,0.178,2.99147751178925e-32,"atlas_1h_alh","Trx-2"
"eEF1alpha1",2.47108615634679e-36,-1.94074664638093,0.218,0.638,3.16249606289262e-32,"atlas_1h_alh","eEF1alpha1"
"CG11191",7.31653169103727e-36,1.64258533022462,0.298,0.062,9.36369725818949e-32,"atlas_1h_alh","CG11191"
"ATPsynE",1.51551646465079e-35,1.36154401151296,0.571,0.208,1.93955797146009e-31,"atlas_1h_alh","ATPsynE"
"cdc14",2.85916748826495e-35,1.56883858574606,0.424,0.125,3.65916255148148e-31,"atlas_1h_alh","cdc14"
"CG44774",2.8819340374752e-35,1.38096817475542,0.437,0.127,3.68829918116076e-31,"atlas_1h_alh","CG44774"
"SK",5.06668564624114e-35,1.43021014941013,0.761,0.418,6.4843442900594e-31,"atlas_1h_alh","SK"
"CG10543",5.52038658585564e-35,1.50107914525329,0.286,0.058,7.06499075257805e-31,"atlas_1h_alh","CG10543"
