"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CG14543",4.63101473768256e-11,0.227692445314577,0.135,0.03,5.92677266128614e-07,"12","CG14543"
"Rpi",4.70142375819397e-11,0.238507890891592,0.183,0.049,6.01688212573665e-07,"12","Rpi"
"kud.1",5.11212745266727e-11,0.336984619914749,0.373,0.138,6.54250071392357e-07,"12","kud"
"tipE.2",5.14833973952235e-11,0.406679348032315,0.5,0.208,6.58884519864071e-07,"12","tipE"
"cathD.3",5.16368622769868e-11,0.174225921988498,0.381,0.139,6.60848563420877e-07,"12","cathD"
"CG9391",5.19904519493658e-11,0.185250268693957,0.175,0.046,6.65373804047984e-07,"12","CG9391"
"CG33181.1",5.34098868282837e-11,0.112450365201619,0.262,0.083,6.83539731628375e-07,"12","CG33181"
"Rpn13",5.49547268648536e-11,0.192105261052123,0.167,0.043,7.03310594416397e-07,"12","Rpn13"
"Gdi.6",5.53642974676904e-11,0.227000731768917,0.698,0.3,7.08552278991502e-07,"12","Gdi"
"dpr9.5",5.62421885313041e-11,-2.10525444730387,0.222,0.462,7.1978752882363e-07,"12","dpr9"
"MED22",5.96572936841622e-11,0.291895520961169,0.175,0.046,7.63494044569908e-07,"12","MED22"
"Tsp97E",5.97443552712365e-11,0.278394361578754,0.19,0.053,7.64608258761285e-07,"12","Tsp97E"
"NUCB1",6.04556696686356e-11,0.31365316070151,0.222,0.066,7.73711660419199e-07,"12","NUCB1"
"EMC4",6.05785585553976e-11,0.212300739024961,0.278,0.091,7.75284392391979e-07,"12","EMC4"
"Arf79F.1",6.15426633596252e-11,0.302482653747728,0.333,0.117,7.87623005676483e-07,"12","Arf79F"
"Arpc1",6.49023166570177e-11,0.196494290763681,0.151,0.037,8.30619848576513e-07,"12","Arpc1"
"Gpb5.1",6.50284656414723e-11,-0.173920313257944,0.198,0.056,8.32234303279563e-07,"12","Gpb5"
"CG34353",6.65741533225596e-11,0.475146886076335,0.167,0.043,8.52016014222117e-07,"12","CG34353"
"Marf.2",7.01336585806851e-11,0.118762054547641,0.476,0.185,8.97570562515608e-07,"12","Marf"
"eIF3d1",7.1037211259081e-11,0.260613844441643,0.135,0.031,9.09134229693718e-07,"12","eIF3d1"
"mRpL28",7.1134388431796e-11,0.331236247713871,0.167,0.043,9.10377903150126e-07,"12","mRpL28"
"gammaSnap1.1",7.57399160141297e-11,0.13425269918334,0.262,0.083,9.69319445148832e-07,"12","gammaSnap1"
"Vha36-1.6",8.16930784191556e-11,0.386672165885433,0.587,0.255,1.04550801760835e-06,"12","Vha36-1"
"CG9281",8.17115165254451e-11,0.136479335652148,0.151,0.037,1.04574398849265e-06,"12","CG9281"
"lqf.3",8.26063812331331e-11,0.38324522758507,0.817,0.385,1.05719646702164e-06,"12","lqf"
"CG17931",8.36909153487431e-11,0.135312364726102,0.198,0.056,1.07107633463321e-06,"12","CG17931"
"jef",9.09898573874674e-11,0.443848189632492,0.167,0.044,1.16448819484481e-06,"12","jef"
"Lamp1",9.22548152623034e-11,0.152740250099839,0.167,0.043,1.18067712572696e-06,"12","Lamp1"
"nAChRalpha6.1",9.57553773364579e-11,-1.11813146055754,0.921,0.793,1.22547731915199e-06,"12","nAChRalpha6"
"vsg",1.06217256954538e-10,0.289459167239719,0.135,0.031,1.35936845450417e-06,"12","vsg"
"Phf5a",1.07504605182804e-10,0.129947932974585,0.246,0.077,1.37584393712952e-06,"12","Phf5a"
"mRpL22",1.08562000679044e-10,0.123436386124827,0.183,0.049,1.38937648469041e-06,"12","mRpL22"
"SNRPG.1",1.24356522852044e-10,0.326900193677258,0.548,0.233,1.59151477946047e-06,"12","SNRPG"
"Rop.1",1.33888605187926e-10,0.235564110064966,0.222,0.067,1.71350636919508e-06,"12","Rop"
"CG32700.1",1.34560599534519e-10,0.106165380812288,0.349,0.126,1.72210655284277e-06,"12","CG32700"
"Arpc5",1.42978208742035e-10,0.252076675281337,0.206,0.061,1.82983511548056e-06,"12","Arpc5"
"CG42268",1.60488822090393e-10,0.22018621583646,0.167,0.044,2.05393594511285e-06,"12","CG42268"
"ND-B15.3",1.72385934344561e-10,0.147264007676278,0.532,0.216,2.20619518774169e-06,"12","ND-B15"
"Prosbeta3.1",1.74083827309801e-10,0.158396847805684,0.341,0.123,2.22792482191083e-06,"12","Prosbeta3"
"CG17454",1.86709117028816e-10,0.139643645706377,0.23,0.071,2.38950327973478e-06,"12","CG17454"
"RNASEK.8",2.10887171265883e-10,0.44641542838079,0.881,0.447,2.69893401786077e-06,"12","RNASEK"
"CG3760",2.20605900873968e-10,0.129118964029605,0.175,0.047,2.82331431938505e-06,"12","CG3760"
"Esyt2",2.34470922844843e-10,0.231220443081957,0.135,0.032,3.0007588705683e-06,"12","Esyt2"
"Uba2",2.44875255870237e-10,0.20986687025169,0.167,0.044,3.13391352462729e-06,"12","Uba2"
"Rpn7",2.49001303183252e-10,0.187889332475894,0.143,0.035,3.18671867813926e-06,"12","Rpn7"
"Opa1.1",2.51998421894424e-10,0.168965244227197,0.206,0.061,3.22507580340484e-06,"12","Opa1"
"rl",2.54369483411594e-10,0.13796484443325,0.167,0.044,3.25542064870158e-06,"12","rl"
"sgg",3.31901817562627e-10,0.115474346664406,0.548,0.226,4.24767946116651e-06,"12","sgg"
"RpL35A.4",3.41978414148565e-10,0.477339671566604,0.794,0.428,4.37663974427333e-06,"12","RpL35A"
"mRpL14",3.47037143379816e-10,0.132728543120055,0.183,0.051,4.44138136097489e-06,"12","mRpL14"
"Ubi-p5E.1",3.50471788779887e-10,0.194361536260172,0.325,0.117,4.485337952805e-06,"12","Ubi-p5E"
"AP-2sigma.3",3.54450564695596e-10,0.234093022221989,0.492,0.203,4.53625832697424e-06,"12","AP-2sigma"
"p23.2",3.71835103246901e-10,0.128190982631948,0.603,0.252,4.75874565135384e-06,"12","p23"
"alt",3.75505954972241e-10,0.151767107789422,0.246,0.08,4.80572521173474e-06,"12","alt"
"ksh",3.98568957679317e-10,0.149088513528203,0.198,0.058,5.1008855203799e-06,"12","ksh"
"CG11752.2",3.98657164797062e-10,0.189018457977901,0.389,0.149,5.10201439507281e-06,"12","CG11752"
"SRPK",3.98922446107087e-10,0.411114329847918,0.23,0.073,5.1054094652785e-06,"12","SRPK"
"LPCAT",4.04238705292499e-10,0.190496498782148,0.151,0.039,5.1734469503334e-06,"12","LPCAT"
"mRpL34.2",4.2196147082425e-10,0.207142102444553,0.46,0.186,5.40026290360875e-06,"12","mRpL34"
"EMC8-9",4.22729035147261e-10,0.21583482185378,0.135,0.032,5.41008619181465e-06,"12","EMC8-9"
"Tim17b.1",4.2768135464278e-10,0.102040709913146,0.349,0.129,5.4734659767183e-06,"12","Tim17b"
"CG5021",4.56616253284956e-10,0.215181814960228,0.143,0.036,5.84377480954087e-06,"12","CG5021"
"Usp14",4.75800892307798e-10,0.175573296501731,0.151,0.039,6.0892998197552e-06,"12","Usp14"
"Sar1.1",4.91776878142522e-10,0.110075463750336,0.421,0.164,6.293760486468e-06,"12","Sar1"
"SelG",5.13619387649639e-10,0.142952823922875,0.206,0.062,6.57330092314008e-06,"12","SelG"
"mura",5.87870145801902e-10,0.144769466649798,0.246,0.08,7.52356212597274e-06,"12","mura"
"Syt4.1",7.29061889619173e-10,0.21201101255304,0.31,0.112,9.33053406334618e-06,"12","Syt4"
"Nulp1",8.22399368981648e-10,0.110849458719787,0.222,0.07,1.05250671242271e-05,"12","Nulp1"
"CCT7",8.22949911344809e-10,0.161266244889391,0.143,0.036,1.05321129653909e-05,"12","CCT7"
"CCT2",8.81499557195028e-10,0.216146291458004,0.151,0.04,1.1281431332982e-05,"12","CCT2"
"CG1440.3",9.08213852492239e-10,0.11972763399,0.349,0.13,1.16233208841957e-05,"12","CG1440"
"CG30419",1.0159139785067e-09,0.145412794460214,0.262,0.089,1.30016670969287e-05,"12","CG30419"
"AP-1-2beta",1.02097732408738e-09,0.240241927090263,0.143,0.036,1.30664677936703e-05,"12","AP-1-2beta"
"gw",1.03323910593691e-09,0.229898022649929,0.23,0.075,1.32233940777806e-05,"12","gw"
"CG2182",1.0337524458954e-09,0.288073045028977,0.159,0.043,1.32299638025693e-05,"12","CG2182"
"CG10465",1.07760195660702e-09,0.100529133311494,0.143,0.036,1.37911498406567e-05,"12","CG10465"
"CG13920.2",1.09945826786961e-09,0.290706346706206,0.325,0.122,1.40708669121952e-05,"12","CG13920"
"Rbcn-3B",1.11293583986037e-09,0.166920619349711,0.143,0.036,1.4243352878533e-05,"12","Rbcn-3B"
"Sem1.2",1.14130474632023e-09,0.201599217257239,0.69,0.304,1.46064181434064e-05,"12","Sem1"
"X11Lbeta",1.16539231595161e-09,0.129003106586841,0.222,0.071,1.49146908595487e-05,"12","X11Lbeta"
"mahe.1",1.26469231722453e-09,-0.159737340732751,0.341,0.125,1.61855322758395e-05,"12","mahe"
