"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Toll-7",2.21475223011891e-135,0.352140909068482,0.495,0.326,2.83443990410618e-131,"atlas_24h_alh","Toll-7"
"AMPdeam",4.01871062597935e-135,0.269090333498883,0.462,0.287,5.14314585912837e-131,"atlas_24h_alh","AMPdeam"
"RpS2.1",2.48008201427194e-133,0.175500171805093,0.647,0.411,3.17400896186522e-129,"atlas_24h_alh","RpS2"
"RpL35.1",2.90218301898029e-133,0.283206429640448,0.524,0.346,3.71421382769098e-129,"atlas_24h_alh","RpL35"
"Dg",2.10566875867123e-132,0.346204664720516,0.311,0.177,2.69483487734744e-128,"atlas_24h_alh","Dg"
"Tctp.1",7.07068300626298e-132,0.381613086590223,0.27,0.15,9.04906011141536e-128,"atlas_24h_alh","Tctp"
"eIF4A.1",9.10188682778145e-130,0.264140227140426,0.431,0.268,1.16485947621947e-125,"atlas_24h_alh","eIF4A"
"Fer2LCH.1",4.99843941788877e-128,0.267536089439747,0.434,0.272,6.39700276701405e-124,"atlas_24h_alh","Fer2LCH"
"dpr14",1.13012735850149e-127,0.256727084735968,0.55,0.364,1.4463369934102e-123,"atlas_24h_alh","dpr14"
"lncRNA:CR31451",1.55984053619743e-127,0.301047115411234,0.469,0.304,1.99628391822547e-123,"atlas_24h_alh","lncRNA:CR31451"
"E2f1",1.91029845462567e-126,0.27974088103652,0.371,0.223,2.44479996222994e-122,"atlas_24h_alh","E2f1"
"trn",6.82515846909037e-126,0.261462483283264,0.452,0.295,8.73483780874186e-122,"atlas_24h_alh","trn"
"dco",2.14446324056851e-121,0.335472595547991,0.235,0.125,2.74448405527958e-117,"atlas_24h_alh","dco"
"Rm62.1",8.15734124690045e-121,0.280328777940484,0.284,0.161,1.04397653277832e-116,"atlas_24h_alh","Rm62"
"RpS13.1",1.06260513901537e-119,0.261409706997321,0.787,0.587,1.35992205691187e-115,"atlas_24h_alh","RpS13"
"blw.1",6.79969239674157e-119,0.25098054299439,0.461,0.298,8.70224632934986e-115,"atlas_24h_alh","blw"
"bic.1",1.29021999204921e-118,0.287255211448502,0.329,0.198,1.65122354582458e-114,"atlas_24h_alh","bic"
"dsh",2.33946916216562e-118,0.265425611100235,0.337,0.199,2.99405263373956e-114,"atlas_24h_alh","dsh"
"slgA",3.58231639144205e-117,0.322564925638095,0.314,0.189,4.58464851776754e-113,"atlas_24h_alh","slgA"
"eEF1alpha2.1",9.01705221942144e-117,0.25938936927039,0.203,0.102,1.15400234304156e-112,"atlas_24h_alh","eEF1alpha2"
"Hsc70-4.1",4.42761430919603e-115,0.289801232182707,0.249,0.138,5.66646079290908e-111,"atlas_24h_alh","Hsc70-4"
"Nacalpha",6.54498556396513e-115,0.313227203813661,0.29,0.171,8.37627252476257e-111,"atlas_24h_alh","Nacalpha"
"mub",6.08709650871422e-114,0.335063998186592,0.241,0.133,7.79026611185246e-110,"atlas_24h_alh","mub"
"Eip63E",1.49183271442966e-113,0.251947104650593,0.443,0.288,1.90924750792707e-109,"atlas_24h_alh","Eip63E"
"RpS28b.1",3.65119879863487e-113,0.268748571128449,0.7,0.519,4.67280422249291e-109,"atlas_24h_alh","RpS28b"
"CG46385",2.54334531092017e-111,0.325248557542795,0.243,0.136,3.25497332891564e-107,"atlas_24h_alh","CG46385"
"Sh3beta",7.26373189658377e-109,0.288726692111768,0.246,0.138,9.29612408124791e-105,"atlas_24h_alh","Sh3beta"
"alphaTub84B.1",1.91613548988881e-108,0.122467956089632,0.767,0.537,2.4522701999597e-104,"atlas_24h_alh","alphaTub84B"
"BtbVII",4.27223380059457e-107,0.293425425332507,0.248,0.139,5.46760481800093e-103,"atlas_24h_alh","BtbVII"
"Paip2",1.56169345448075e-106,0.281601042212011,0.257,0.146,1.99865528304447e-102,"atlas_24h_alh","Paip2"
"CG11155",2.22881564791056e-106,0.262819643897859,0.259,0.148,2.85243826619593e-102,"atlas_24h_alh","CG11155"
"Trf2",2.50264227098733e-104,0.237894196851116,0.47,0.313,3.20288157840958e-100,"atlas_24h_alh","Trf2"
"chic.1",3.22025518433823e-103,0.228396113279238,0.367,0.234,4.12128258491606e-99,"atlas_24h_alh","chic"
"Plc21C",2.03466550417806e-102,0.268096760255919,0.227,0.126,2.60396491224708e-98,"atlas_24h_alh","Plc21C"
"mt:CoIII",4.71043315881098e-102,0.207656473371369,0.911,0.789,6.0284123566463e-98,"atlas_24h_alh","mt:CoIII"
"CNBP.1",9.22277742168838e-100,0.21344300452218,0.463,0.311,1.18033105442768e-95,"atlas_24h_alh","CNBP"
"tral",1.28040418952355e-99,0.215067464010709,0.374,0.236,1.63866128175224e-95,"atlas_24h_alh","tral"
"CG32052",3.32957176560197e-99,0.300933683109977,0.326,0.207,4.2611859456174e-95,"atlas_24h_alh","CG32052"
"tun",4.96688370893526e-98,0.276124141578181,0.229,0.129,6.35661777069535e-94,"atlas_24h_alh","tun"
"Sem1",1.04423827146114e-97,0.219794728005466,0.391,0.253,1.33641613981596e-93,"atlas_24h_alh","Sem1"
"mask",3.79563812567754e-96,0.26219180120682,0.241,0.139,4.85765767324212e-92,"atlas_24h_alh","mask"
"sesB.1",6.06332752397718e-94,0.156804598072543,0.663,0.464,7.75984656518599e-90,"atlas_24h_alh","sesB"
"RpS27.1",2.45208744482267e-93,0.210281309584697,0.844,0.678,3.13818151188406e-89,"atlas_24h_alh","RpS27"
"ab",2.63022477339281e-92,0.334024910304026,0.281,0.175,3.36616166498812e-88,"atlas_24h_alh","ab"
"eEF2.1",4.26929654620726e-92,0.183336941105535,0.265,0.158,5.46384571983605e-88,"atlas_24h_alh","eEF2"
"Fas2",3.02324190984968e-87,0.211189419320279,0.735,0.589,3.86914499622562e-83,"atlas_24h_alh","Fas2"
"lolal",2.59883999739464e-85,0.241043132963024,0.318,0.206,3.32599542866566e-81,"atlas_24h_alh","lolal"
"kra.1",4.33182079904114e-85,0.16108467693583,0.327,0.208,5.54386425861285e-81,"atlas_24h_alh","kra"
