"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CG34200",6.71557321045291e-07,3.23794248661543,1,0.12,0.00859459059473763,"atlas_1h_alh","CG34200"
"CG12384",6.9429393144939e-07,2.95037749851598,0.5,0.013,0.0088855737346893,"atlas_1h_alh","CG12384"
"lncRNA:CR44320",6.9429393144939e-07,2.69026686224552,0.5,0.013,0.0088855737346893,"atlas_1h_alh","lncRNA:CR44320"
"CG13585",1.21163399994283e-06,2.567354158505,0.75,0.053,0.0155064919312683,"atlas_1h_alh","CG13585"
"Atg1",1.37975742826582e-06,2.49180194287762,0.5,0.013,0.0176581355669459,"atlas_1h_alh","Atg1"
"dlg1",1.42703411217611e-05,2.60990125916929,1,0.173,0.182631825676298,"atlas_1h_alh","dlg1"
"tou",1.73571417991485e-05,2.62430282302513,0.75,0.08,0.222136700745502,"atlas_1h_alh","tou"
"TfIIFbeta",1.93387231011247e-05,2.28036982262286,0.25,0,0.247496978248194,"atlas_1h_alh","TfIIFbeta"
"CG6154",1.93387231011247e-05,2.28036982262286,0.25,0,0.247496978248194,"atlas_1h_alh","CG6154"
"Syx7",1.93387231011247e-05,2.28036982262286,0.25,0,0.247496978248194,"atlas_1h_alh","Syx7"
"FBti0059770",1.93387231011247e-05,2.28036982262286,0.25,0,0.247496978248194,"atlas_1h_alh","FBti0059770"
"CG30373",1.93387231011247e-05,2.28036982262286,0.25,0,0.247496978248194,"atlas_1h_alh","CG30373"
"Drip",1.93387231011247e-05,2.28036982262286,0.25,0,0.247496978248194,"atlas_1h_alh","Drip"
"CG30109",1.93387231011247e-05,2.28036982262286,0.25,0,0.247496978248194,"atlas_1h_alh","CG30109"
"fest",1.93387231011247e-05,2.28036982262286,0.25,0,0.247496978248194,"atlas_1h_alh","fest"
"RIC-3",1.93387231011247e-05,2.28036982262286,0.25,0,0.247496978248194,"atlas_1h_alh","RIC-3"
"CG4199",1.93387231011247e-05,2.28036982262286,0.25,0,0.247496978248194,"atlas_1h_alh","CG4199"
"BORCS5",1.93387231011247e-05,2.28036982262286,0.25,0,0.247496978248194,"atlas_1h_alh","BORCS5"
"CG8675",1.93387231011247e-05,2.28036982262286,0.25,0,0.247496978248194,"atlas_1h_alh","CG8675"
"CG8319",1.93387231011247e-05,2.13794955715614,0.25,0,0.247496978248194,"atlas_1h_alh","CG8319"
"lncRNA:CR45128",1.93387231011247e-05,2.13794955715614,0.25,0,0.247496978248194,"atlas_1h_alh","lncRNA:CR45128"
"CG3356",1.93387231011247e-05,2.13794955715614,0.25,0,0.247496978248194,"atlas_1h_alh","CG3356"
"lncRNA:CR45530",1.93387231011247e-05,2.13794955715614,0.25,0,0.247496978248194,"atlas_1h_alh","lncRNA:CR45530"
"Gbeta5",1.93387231011247e-05,2.13794955715614,0.25,0,0.247496978248194,"atlas_1h_alh","Gbeta5"
"l(1)G0289",1.93387231011247e-05,2.13794955715614,0.25,0,0.247496978248194,"atlas_1h_alh","l(1)G0289"
"rtv",1.93387231011247e-05,2.13794955715614,0.25,0,0.247496978248194,"atlas_1h_alh","rtv"
"CG8360",1.93387231011247e-05,2.13794955715614,0.25,0,0.247496978248194,"atlas_1h_alh","CG8360"
"holn1",1.93387231011247e-05,2.13794955715614,0.25,0,0.247496978248194,"atlas_1h_alh","holn1"
"CG10366",1.93387231011247e-05,2.13794955715614,0.25,0,0.247496978248194,"atlas_1h_alh","CG10366"
"CG12170",1.93387231011247e-05,1.90816113293492,0.25,0,0.247496978248194,"atlas_1h_alh","CG12170"
"MICU3",1.93387231011247e-05,1.90816113293492,0.25,0,0.247496978248194,"atlas_1h_alh","MICU3"
"BCAS2",1.93387231011247e-05,1.90816113293492,0.25,0,0.247496978248194,"atlas_1h_alh","BCAS2"
"jus",1.93387231011247e-05,1.90816113293492,0.25,0,0.247496978248194,"atlas_1h_alh","jus"
