"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"pros",1.41706731569425e-09,1.15313850150061,0.636,0.636,2.8341346313885e-06
"Pvf3",1.60176334957334e-09,0.139280440982037,0.187,0.114,3.20352669914667e-06
"HIP",2.49111614801239e-09,-0.119521550292363,0.225,0.196,4.98223229602479e-06
"hzg",3.05756048927687e-09,0.424694431104648,0.4,0.482,6.11512097855375e-06
"Dhfr",3.4250746287121e-09,-0.113062292660608,0.303,0.274,6.8501492574242e-06
"Rack1",3.8352519012494e-09,0.649837725281023,0.846,0.979,7.67050380249881e-06
"RhoGEF2",4.00819103546834e-09,0.524774795736849,0.355,0.307,8.01638207093668e-06
"Traf4",4.47313977921162e-09,0.966522392907286,0.363,0.321,8.94627955842323e-06
"RpS10b",4.60824677474772e-09,0.574587940946361,0.852,0.977,9.21649354949543e-06
"nclb",5.13068253608776e-09,-0.203925695795672,0.206,0.186,1.02613650721755e-05
"CG32409",5.95124500337477e-09,-0.481576079476427,0.276,0.43,1.19024900067495e-05
"sprt",6.13480366863904e-09,0.408612607031434,0.316,0.274,1.22696073372781e-05
"Toll-6",6.9129672256547e-09,0.603556004292021,0.519,0.638,1.38259344513094e-05
"CG34155",7.07154179687569e-09,0.182249202927046,0.285,0.35,1.41430835937514e-05
"MFS9",7.35439056143531e-09,0.374762098941529,0.341,0.457,1.47087811228706e-05
"Abd-B",7.90612774990842e-09,-0.225339819754046,0.288,0.317,1.58122554998169e-05
"Unc-76",9.42435561314594e-09,0.231566685231628,0.121,0.057,1.88487112262919e-05
"Zir",1.03307077213912e-08,0.164918095476184,0.144,0.071,2.06614154427824e-05
"lncRNA:CR40469",1.19668430231766e-08,0.391857591701262,0.967,0.99,2.39336860463533e-05
"Rbp6",1.24006004680843e-08,0.670946549614041,0.616,0.751,2.48012009361685e-05
"eEF1alpha1",1.27565095594847e-08,0.373863010956491,0.956,0.998,2.55130191189695e-05
"TyrR",1.32371946024895e-08,0.114074145749473,0.313,0.341,2.64743892049791e-05
"CG5112",1.65500430075484e-08,-0.199293335960742,0.258,0.229,3.31000860150968e-05
"H",2.00795176492028e-08,0.168299477768572,0.244,0.189,4.01590352984057e-05
"RpS24",2.0653255114575e-08,0.505400561132493,0.885,0.976,4.13065102291501e-05
"CG43222",2.40084405158256e-08,0.279642269300102,0.336,0.362,4.80168810316513e-05
"Syb",2.72166739284217e-08,-0.107569028021562,0.349,0.473,5.44333478568434e-05
"Eip75B",3.42733893257434e-08,0.461655924821294,0.439,0.574,6.85467786514868e-05
"mt:tRNA:Ser-GCT",3.62867984650113e-08,0.467229828658007,0.588,0.808,7.25735969300227e-05
"RpL37A",4.01286869244834e-08,0.226020242886403,0.939,0.996,8.02573738489668e-05
"E(spl)m4-BFM",4.09286427669157e-08,0.13368030734519,0.263,0.328,8.18572855338315e-05
"eys",4.68020808376629e-08,0.171433761377921,0.321,0.367,9.36041616753257e-05
"CG15083",4.72976671160838e-08,0.153501644820488,0.263,0.314,9.45953342321677e-05
"E(spl)m7-HLH",5.44983572994936e-08,0.34606760781371,0.336,0.431,0.000108996714598987
"CG32982",6.11339476370024e-08,0.165966518934952,0.285,0.341,0.000122267895274005
"eEF5",6.29621828752317e-08,0.16015028417279,0.814,0.985,0.000125924365750463
"kibra",6.77672305078182e-08,0.102111968141474,0.211,0.288,0.000135534461015636
"kay",8.52927659099154e-08,0.131575949978106,0.307,0.337,0.000170585531819831
"Sp1",9.17367967762901e-08,0.397411275980516,0.394,0.471,0.00018347359355258
"CG15765",9.8936464931891e-08,0.165080313515622,0.258,0.335,0.000197872929863782
"cas",1.0604295211312e-07,0.220498814461102,0.336,0.316,0.000212085904226241
"brk",1.14894133640526e-07,0.688552296563319,0.376,0.354,0.000229788267281052
"CG43085",1.16071598897703e-07,0.330199965858513,0.297,0.364,0.000232143197795406
"Tl",1.32262799434432e-07,0.373775924138795,0.261,0.335,0.000264525598868863
"CG5151",1.38340934009101e-07,0.641743032374558,0.304,0.422,0.000276681868018202
"dpr1",1.48196744334381e-07,0.126631959171512,0.328,0.345,0.000296393488668761
"RpL22",1.49403878614057e-07,0.26831087363287,0.502,0.671,0.000298807757228113
"Usp10",1.5834397991342e-07,-0.225775449910417,0.166,0.294,0.00031668795982684
"Mcm10",1.59107209810967e-07,-0.119925535451293,0.163,0.138,0.000318214419621934
"pch2",1.73164065000652e-07,-0.279564467207528,0.375,0.502,0.000346328130001304
"5-HT1A",1.75303663751587e-07,0.159627310946651,0.316,0.347,0.000350607327503174
"RpL18",2.04179260240337e-07,0.335068132267252,0.915,0.992,0.000408358520480673
"FBti0102105",2.64373616889561e-07,0.131183981928222,0.236,0.309,0.000528747233779121
"futsch",2.94502977095615e-07,0.53797754685332,0.493,0.622,0.000589005954191229
"CG43737",3.11804477145759e-07,0.340376050266862,0.274,0.348,0.000623608954291518
"SelG",3.37849064512e-07,0.269278485473327,0.163,0.23,0.000675698129024
"Odj",4.21791870576395e-07,-0.193887508305826,0.226,0.201,0.000843583741152789
