"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"lncRNA:cherub",0,-2.65691757048315,0.932,0.97,0
"Syp",0,1.38418605354813,0.774,0.343,0
"trn",0,2.21640148246605,0.944,0.623,0
"mamo",0,2.82001782827833,0.862,0.233,0
"CycE",0,1.79121648401074,0.715,0.36,0
"Hsp27",0,1.10753823149325,0.994,0.837,0
"mnd",0,1.68073207810815,0.702,0.315,0
"lncRNA:CR34335",0,-0.608683472772634,1,1,0
"His3.3B",4.56919711505105e-307,0.916119766178496,0.991,0.886,9.13839423010211e-304
"br",4.20744587992794e-258,1.23789648831972,0.6,0.244,8.41489175985589e-255
"hdly",1.19643677729214e-247,1.88792718484806,0.526,0.239,2.39287355458428e-244
"path",1.07322692213923e-237,1.30180909104806,0.664,0.392,2.14645384427846e-234
"sgg",5.07149876625449e-232,1.14851257396099,0.574,0.285,1.0142997532509e-228
"HnRNP-K",1.13431263423248e-218,1.48759053232076,0.698,0.436,2.26862526846495e-215
"E(spl)m8-HLH",7.10020289641831e-212,-1.64755437298092,0.464,0.703,1.42004057928366e-208
"NijA",2.04140865691239e-201,0.11894377762369,0.301,0.104,4.08281731382478e-198
"Drat",4.80517579666045e-199,1.11015363977101,0.872,0.631,9.61035159332089e-196
"pros",9.88416917989617e-194,1.06290557781466,0.636,0.301,1.97683383597923e-190
"SoxN",1.3492041548678e-192,0.905192551172151,0.929,0.732,2.69840830973559e-189
"betaTub56D",2.47235326277565e-189,0.480958099148799,0.998,0.971,4.94470652555131e-186
"lncRNA:CR46006",2.00979093739504e-186,1.07538599897254,0.602,0.297,4.01958187479008e-183
"Mcm7",9.90778973706507e-184,1.34278634356111,0.675,0.413,1.98155794741301e-180
"klu",2.99622607664117e-175,1.36475680869712,0.513,0.257,5.99245215328234e-172
"grh",6.56220880432758e-168,-2.30745958533176,0.357,0.57,1.31244176086552e-164
"CG6479",1.32206131624012e-163,0.125426402170096,0.323,0.141,2.64412263248024e-160
"CG12708",8.81160941572508e-162,1.63190598227494,0.483,0.293,1.76232188314502e-158
"CG15209",9.2556557165332e-161,0.109830170825946,0.294,0.117,1.85113114330664e-157
"jim",1.01586335450276e-160,0.890725056206652,0.582,0.257,2.03172670900553e-157
"Lsd-2",3.997661522938e-154,0.525943081512698,0.486,0.253,7.995323045876e-151
"Mvd",1.88738945514441e-153,0.179616485005562,0.264,0.075,3.77477891028883e-150
"dUTPase",4.43008379736444e-150,0.912048228780014,0.606,0.334,8.86016759472889e-147
"Glo1",1.17342473590834e-148,0.581073947635239,0.374,0.148,2.34684947181667e-145
"for",2.06283472296454e-148,1.16581896450282,0.509,0.304,4.12566944592908e-145
"GstD1",1.86618073256376e-145,1.10601159402312,0.582,0.365,3.73236146512752e-142
"lncRNA:CR45388",2.0481545496663e-144,-1.37600789828804,0.819,0.887,4.0963090993326e-141
"RpL38",7.05067294912865e-143,-0.787234884937167,0.918,0.93,1.41013458982573e-139
"CG9650",3.12859451038777e-136,0.855349091005084,0.489,0.254,6.25718902077554e-133
"CG3164",2.02846255799281e-133,0.200628047152151,0.288,0.113,4.05692511598562e-130
"rho",4.65102485694721e-133,1.06491539668548,0.446,0.269,9.30204971389443e-130
"Eip75B",3.82525080512259e-132,0.358685373236377,0.439,0.226,7.65050161024517e-129
"Cse1",1.4661441196166e-131,0.604621207915857,0.424,0.228,2.93228823923321e-128
"Hil",2.97709327722448e-124,0.397966677972096,0.335,0.177,5.95418655444896e-121
"CG6701",4.70988556240337e-119,0.875102579477336,0.54,0.345,9.41977112480673e-116
"Echs1",5.268644545374e-118,0.284566251753168,0.348,0.191,1.0537289090748e-114
"dpa",6.97106800394804e-118,1.34104462296995,0.496,0.322,1.39421360078961e-114
"CG1124",1.69142488585434e-117,0.758586579069224,0.377,0.221,3.38284977170868e-114
"Pen",2.51292704538377e-115,0.611787190058042,0.938,0.82,5.02585409076754e-112
"RabX1",5.15467644906287e-114,0.400077633198974,0.387,0.204,1.03093528981257e-110
"CG7720",5.47885423092538e-114,0.115287104146065,0.292,0.135,1.09577084618508e-110
"CG32354",2.87793112274864e-112,1.67801272772479,0.443,0.253,5.75586224549727e-109
"lncRNA:CR45593",2.95915843606255e-112,-0.170362302354583,0.075,0.212,5.9183168721251e-109
"rost",2.50088808013752e-111,0.210673459999544,0.33,0.19,5.00177616027505e-108
"Notum",7.49782882193229e-110,0.288332218184704,0.311,0.155,1.49956576438646e-106
"Ppa",1.14610629402877e-109,0.707326245439375,0.406,0.244,2.29221258805754e-106
"18w",1.38411581734484e-109,0.774556953073569,0.325,0.154,2.76823163468968e-106
"tth",2.37655533556381e-109,0.581391119192151,0.545,0.355,4.75311067112762e-106
"CG4364",1.87797613935187e-108,0.161201489543985,0.379,0.213,3.75595227870374e-105
"CG31475",1.58028878124227e-107,0.119907250459942,0.293,0.144,3.16057756248454e-104
"Ran",6.94264616761032e-106,0.695529785755832,0.736,0.506,1.38852923352206e-102
"arm",4.07070825226089e-105,0.496546888150747,0.39,0.193,8.14141650452179e-102
"hid",3.29518750453927e-104,0.43778456605034,0.324,0.159,6.59037500907854e-101
"eEF2",3.03314166016195e-102,0.732004036406206,0.666,0.444,6.0662833203239e-99
"Wnt4",1.09568379159735e-100,0.18111014462152,0.572,0.35,2.19136758319471e-97
"Sirup",3.7757970076625e-100,0.203266368999042,0.375,0.207,7.55159401532499e-97
"mtSSB",4.13293339966333e-99,0.347291832267988,0.389,0.221,8.26586679932667e-96
"Chrac-16",6.63730402937627e-99,0.666276982167704,0.419,0.257,1.32746080587525e-95
"dally",1.19776440508628e-98,0.650045527018878,0.59,0.399,2.39552881017255e-95
"Lmpt",1.74390991077523e-98,-0.151999853650571,0.165,0.281,3.48781982155046e-95
"TppII",2.75668686467412e-98,0.178431833672371,0.293,0.15,5.51337372934825e-95
"Oaz",3.95252737198779e-98,1.13026179980684,0.377,0.205,7.90505474397558e-95
"emb",1.9145120819541e-96,0.588306376551092,0.912,0.757,3.82902416390821e-93
"CycB3",5.36680059897442e-96,0.551916869280733,0.331,0.167,1.07336011979488e-92
"RpL4",1.30899801621615e-95,0.570064458794532,0.838,0.639,2.6179960324323e-92
"RpS4",1.30848037355158e-94,0.414777529963985,0.978,0.905,2.61696074710316e-91
"RpS6",3.11530253144847e-93,0.532358762080755,0.853,0.656,6.23060506289693e-90
"SP1173",1.70735301538934e-92,0.482397848306409,0.408,0.259,3.41470603077868e-89
"Chd64",4.70871274116372e-92,0.20245360299491,0.346,0.211,9.41742548232743e-89
"RR48361-transposable-element",1.57491527466988e-91,-0.356933347982171,0.049,0.161,3.14983054933976e-88
"CG43658",2.69826895778906e-90,1.3395405401873,0.41,0.229,5.39653791557811e-87
"GstS1",3.52308395913731e-90,0.185700115301165,0.316,0.176,7.04616791827462e-87
"rdx",2.06520596305764e-88,0.64367665755825,0.503,0.34,4.13041192611528e-85
