"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Arc1",6.57930950724923e-13,0.125625540107936,0.23,0.174,1.31586190144985e-09
"Sam-S",9.03050757157692e-13,-0.534664340735701,0.173,0.364,1.80610151431538e-09
"sprt",1.27210282534282e-12,1.68168303334033,0.341,0.274,2.54420565068563e-09
"Ccdc85",1.57772226148603e-12,0.130856174700839,0.245,0.197,3.15544452297205e-09
"RpS14a",1.95258322942165e-12,0.215637372743573,0.795,0.994,3.90516645884331e-09
"Mcm10",2.54404793972984e-12,-0.294916069797822,0.14,0.138,5.08809587945967e-09
"apolpp",2.66662358631081e-12,0.302827096751606,0.223,0.33,5.33324717262162e-09
"gcm",2.74596344380614e-12,0.147589658096358,0.238,0.299,5.49192688761227e-09
"26-29-p",2.8208525521686e-12,0.142110548174744,0.26,0.224,5.6417051043372e-09
"Acbp2",4.13806759176327e-12,0.788590571551404,0.27,0.242,8.27613518352654e-09
"hbs",4.65221146533483e-12,0.132941737805142,0.241,0.31,9.30442293066967e-09
"scro",5.69152357765713e-12,0.816091900398208,0.176,0.256,1.13830471553143e-08
"CG6310",6.31866981022145e-12,0.119476771842437,0.223,0.305,1.26373396204429e-08
"RpL14",7.27818239166128e-12,0.62289671220193,0.898,0.998,1.45563647833226e-08
"polo",9.20041695558285e-12,-0.258198183017992,0.14,0.295,1.84008339111657e-08
"cpx",9.35982404206684e-12,0.743548953440924,0.309,0.441,1.87196480841337e-08
"salr",1.18089405230616e-11,0.140917002985435,0.209,0.299,2.36178810461233e-08
"beat-Ic",1.20685877434078e-11,0.18845669176281,0.256,0.325,2.41371754868157e-08
"RfC4",1.3032275798644e-11,-0.665174752417523,0.242,0.404,2.60645515972881e-08
"RpS20",1.52158470759183e-11,0.456640507770727,0.912,0.997,3.04316941518365e-08
"vito",1.82467318337289e-11,-0.141653056786217,0.281,0.406,3.64934636674578e-08
"CG15765",2.90267539262532e-11,0.145756978335253,0.239,0.335,5.80535078525063e-08
"ogre",3.06299040563847e-11,0.50059703011949,0.511,0.76,6.12598081127693e-08
"nrv3",3.22265021181708e-11,0.912990658585301,0.464,0.666,6.44530042363416e-08
"CG4250",4.73544833175263e-11,0.340378291214912,0.261,0.347,9.47089666350527e-08
"eRF3",5.59676549202626e-11,-0.344353315250197,0.127,0.266,1.11935309840525e-07
"CG1416",6.60760390877082e-11,-0.533474385348911,0.229,0.401,1.32152078175416e-07
"Csas",1.08320522153235e-10,0.238229122718367,0.279,0.37,2.1664104430647e-07
"RpL23A",1.41668085625937e-10,0.236243187417159,0.749,0.979,2.83336171251874e-07
"CG10512",1.45218112616301e-10,-0.107680962705154,0.255,0.23,2.90436225232603e-07
"Toll-6",1.56259713124436e-10,1.12914564322962,0.467,0.638,3.12519426248873e-07
"Idgf4",1.89324805796598e-10,0.373282538809307,0.198,0.148,3.78649611593195e-07
"Upf1",3.04658614035664e-10,-0.190354960203149,0.26,0.365,6.09317228071327e-07
"RpL36A",3.15337040974823e-10,0.517667637869888,0.9,0.996,6.30674081949647e-07
"alrm",3.47165700050693e-10,0.297593509062882,0.165,0.237,6.94331400101386e-07
"bt",4.94113071322402e-10,0.155287879583325,0.273,0.314,9.88226142644804e-07
"RpS12",5.69331756263567e-10,0.566498496271791,0.9,0.995,1.13866351252713e-06
"Scm",6.77324505684911e-10,0.10663444113571,0.214,0.283,1.35464901136982e-06
"Nsun2",8.27095162946462e-10,-0.770794802928312,0.23,0.391,1.65419032589292e-06
"Rack1",8.90418819498236e-10,0.359718304099102,0.695,0.979,1.78083763899647e-06
"CG43693",1.70047695988762e-09,0.12275799768214,0.209,0.285,3.40095391977524e-06
"Den1",2.17008400670837e-09,0.246934125365493,0.259,0.36,4.34016801341673e-06
"kn",2.27469019161636e-09,1.11192986560558,0.251,0.34,4.54938038323272e-06
"Caf1-180",2.92646594188733e-09,-0.449494669333044,0.25,0.404,5.85293188377466e-06
"rhea",3.05436756439376e-09,0.68617006970654,0.3,0.423,6.10873512878752e-06
"CG1545",3.12351921782218e-09,0.152343008166006,0.236,0.312,6.24703843564436e-06
"Rgk1",3.34435288462033e-09,0.324805938894652,0.32,0.408,6.68870576924067e-06
"e(r)",4.46440995039107e-09,0.186695705932858,0.35,0.498,8.92881990078215e-06
"HmgD",5.25305575512467e-09,0.392664918494577,0.835,0.979,1.05061115102493e-05
"Mcm5",5.39931847664421e-09,-0.351116134352036,0.215,0.224,1.07986369532884e-05
"Adf1",6.77799553490785e-09,0.704068020486652,0.357,0.491,1.35559910698157e-05
"LRP1",7.17973634607569e-09,0.423878936317476,0.168,0.125,1.43594726921514e-05
"Atxn7",7.24396063779828e-09,0.299360807250579,0.23,0.327,1.44879212755966e-05
"SoxN",7.48241631337779e-09,0.248946436781458,0.732,0.976,1.49648326267556e-05
"capt",8.43240968922503e-09,-0.148526265815714,0.111,0.23,1.68648193784501e-05
"Pdf",9.74768800578396e-09,0.151907492831862,0.24,0.203,1.94953760115679e-05
"CG8778",1.03304008451972e-08,-0.588964087649154,0.271,0.397,2.06608016903944e-05
"Gad1",1.41611026787817e-08,0.124165839521886,0.26,0.309,2.83222053575633e-05
