"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Ugt49B1",2.7817314722544e-34,1.11729540666073,0.174,0.044,3.56005993819119e-30,"atlas_1h_alh","Ugt49B1"
"CG5254",3.94441717941638e-34,1.1882918133444,0.273,0.097,5.04806510621708e-30,"atlas_1h_alh","CG5254"
"roh",6.33864418263348e-34,0.939871258233111,0.62,0.391,8.11219682493433e-30,"atlas_1h_alh","roh"
"CG8369",7.43411201743574e-34,1.39493605045915,0.739,0.614,9.51417655991426e-30,"atlas_1h_alh","CG8369"
"CG42489",1.08515243525478e-33,1.36725027800233,0.168,0.042,1.38877808663906e-29,"atlas_1h_alh","CG42489"
"CG10527",1.3914191840557e-33,1.23523112467352,0.341,0.144,1.78073827175449e-29,"atlas_1h_alh","CG10527"
"CG14312",4.33932048836622e-33,1.19583325920748,0.127,0.026,5.55346236101109e-29,"atlas_1h_alh","CG14312"
"Acbp2",9.91810012180358e-33,0.924573505741493,0.82,0.711,1.26931845358842e-28,"atlas_1h_alh","Acbp2"
"Hrb87F",1.55833375180322e-32,-2.07196008579407,0.022,0.262,1.99435553555776e-28,"atlas_1h_alh","Hrb87F"
"pre-rRNA:CR45845",2.40396575866333e-32,-2.18773876333084,0.022,0.263,3.07659537793733e-28,"atlas_1h_alh","pre-rRNA:CR45845"
"ND-B16.6",8.28065750471407e-32,1.12669049978873,0.349,0.151,1.05975854745331e-27,"atlas_1h_alh","ND-B16.6"
"CG10208",9.67381083073107e-32,0.991484061084325,0.129,0.027,1.23805431011696e-27,"atlas_1h_alh","CG10208"
"ATPsynO",9.78109990282044e-32,1.05570910903096,0.535,0.315,1.25178516556296e-27,"atlas_1h_alh","ATPsynO"
"Ddc",9.91986666270204e-32,1.50234162630648,0.257,0.093,1.26954453549261e-27,"atlas_1h_alh","Ddc"
"sesB",3.30480017686855e-31,0.876754745612979,0.731,0.584,4.22948326635637e-27,"atlas_1h_alh","sesB"
"COX4",4.3994201410052e-31,1.01525397899737,0.566,0.345,5.63037789645845e-27,"atlas_1h_alh","COX4"
"ND-B14",4.58208863291038e-31,1.07978239259644,0.418,0.202,5.86415703239871e-27,"atlas_1h_alh","ND-B14"
"Jafrac1",5.37385853202507e-31,-1.29763924592779,0.251,0.495,6.87746414928568e-27,"atlas_1h_alh","Jafrac1"
