"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"lwr.3",0,0.544886989781242,0.653,0.125,0,"33","lwr"
"pav",0,0.544690173967619,0.238,0.013,0,"33","pav"
"fzy",0,0.542872344485933,0.208,0.009,0,"33","fzy"
"Tis11.7",0,0.541534536308783,0.565,0.095,0,"33","Tis11"
"Prp8",0,0.54088931463088,0.295,0.028,0,"33","Prp8"
"Syb.1",0,0.540664480187703,0.348,0.044,0,"33","Syb"
"CG1622",0,0.539586390880449,0.322,0.032,0,"33","CG1622"
"CG9253",0,0.539346779641883,0.298,0.03,0,"33","CG9253"
"Fen1",0,0.538860392155012,0.213,0.013,0,"33","Fen1"
"MED11",0,0.538668767587388,0.329,0.035,0,"33","MED11"
"barc",0,0.538047804903837,0.262,0.022,0,"33","barc"
"Prosbeta6",0,0.537523152123951,0.547,0.09,0,"33","Prosbeta6"
"mRpL19",0,0.537473682865975,0.404,0.058,0,"33","mRpL19"
"mRpL38",0,0.536767361294404,0.278,0.026,0,"33","mRpL38"
"NSD",0,0.532237491534586,0.236,0.017,0,"33","NSD"
"mEFTu1",0,0.531816945574556,0.364,0.045,0,"33","mEFTu1"
"CG6066",0,0.5315043736213,0.254,0.021,0,"33","CG6066"
"CG3436",0,0.531105266806516,0.275,0.025,0,"33","CG3436"
"Acf",0,0.530635359933306,0.275,0.023,0,"33","Acf"
"Sec22",0,0.53006025828463,0.244,0.018,0,"33","Sec22"
"Prosalpha2",0,0.529337430986708,0.548,0.092,0,"33","Prosalpha2"
"Taf10",0,0.528712299562078,0.387,0.053,0,"33","Taf10"
"CG11417",0,0.525481945766706,0.254,0.02,0,"33","CG11417"
"mRpS16",0,0.524197369717133,0.457,0.064,0,"33","mRpS16"
"CG32448",0,0.522010218079272,0.461,0.072,0,"33","CG32448"
"ND-75",0,0.521877408677605,0.377,0.049,0,"33","ND-75"
"Gnf1",0,0.521200225574299,0.237,0.015,0,"33","Gnf1"
"Art1",0,0.521175519509374,0.424,0.059,0,"33","Art1"
"CG5885.1",0,0.52024049166505,0.465,0.074,0,"33","CG5885"
"CG8635.2",0,0.519389517579458,0.431,0.064,0,"33","CG8635"
"Cog4",0,0.519098213030734,0.205,0.013,0,"33","Cog4"
"tyf.1",0,0.518177030453368,0.66,0.137,0,"33","tyf"
"Fnta",0,0.517344518317485,0.198,0.013,0,"33","Fnta"
"Prosbeta4",0,0.5166356940055,0.549,0.091,0,"33","Prosbeta4"
"Nnf1a",0,0.516382065140973,0.226,0.017,0,"33","Nnf1a"
"mRpL46",0,0.516166082422221,0.242,0.018,0,"33","mRpL46"
"CG17202",0,0.516118987314732,0.431,0.065,0,"33","CG17202"
"Rbm13",0,0.516115436632841,0.228,0.016,0,"33","Rbm13"
"CG6115.1",0,0.514506700325808,0.599,0.108,0,"33","CG6115"
"CG32069",0,0.514460142154916,0.352,0.045,0,"33","CG32069"
"CSN6",0,0.514325969991506,0.375,0.044,0,"33","CSN6"
"Cdc6",0,0.513840318708373,0.183,0.007,0,"33","Cdc6"
"Prosalpha4.1",0,0.512836128303349,0.483,0.079,0,"33","Prosalpha4"
"Kmn1",0,0.512734993905737,0.213,0.014,0,"33","Kmn1"
"Npl4.3",0,0.512198123059286,0.452,0.069,0,"33","Npl4"
"sle",0,0.511516133942109,0.277,0.024,0,"33","sle"
"CG14210",0,0.511422931957463,0.319,0.039,0,"33","CG14210"
"CG11180",0,0.51069595538985,0.267,0.027,0,"33","CG11180"
"CG2931",0,0.510644550543818,0.215,0.019,0,"33","CG2931"
"pont",0,0.510384993670995,0.303,0.027,0,"33","pont"
"kst.3",0,0.510136054513343,0.313,0.037,0,"33","kst"
"Caf1-55",0,0.50907659067131,0.284,0.025,0,"33","Caf1-55"
"sti",0,0.508352319526318,0.173,0.01,0,"33","sti"
"Fib.1",0,0.508104502301617,0.352,0.045,0,"33","Fib"
"ND-42.2",0,0.507730703694145,0.476,0.076,0,"33","ND-42"
"CG11885",0,0.507288028229084,0.282,0.025,0,"33","CG11885"
"CG9776.4",0,0.506707547987478,0.554,0.091,0,"33","CG9776"
"CG5787",0,0.50531855976588,0.236,0.019,0,"33","CG5787"
"wor",0,0.504931998885736,0.19,0.009,0,"33","wor"
"trsn",0,0.504659405846647,0.328,0.036,0,"33","trsn"
"corn",0,0.504646376734209,0.355,0.04,0,"33","corn"
"Dl.2",0,0.504017586094519,0.324,0.034,0,"33","Dl"
