"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"RpS26",1.40460140985525e-19,0.281063086290561,0.94,0.781,1.79760888433274e-15,"atlas_24h_alh","RpS26"
"His3.3A",1.53192152784766e-19,0.371015644701345,0.375,0.194,1.96055317133944e-15,"atlas_24h_alh","His3.3A"
"CtBP.1",2.82525072879763e-19,0.351661682251941,0.568,0.345,3.61575588271521e-15,"atlas_24h_alh","CtBP"
"ALiX.1",2.96496936464613e-19,0.567535023005924,0.183,0.065,3.79456779287412e-15,"atlas_24h_alh","ALiX"
"LanA",3.0841570824854e-19,0.61670386868658,0.201,0.077,3.94710423416481e-15,"atlas_24h_alh","LanA"
"Pal2",3.31106426255216e-19,0.708760482056045,0.156,0.047,4.23750004321425e-15,"atlas_24h_alh","Pal2"
"GstZ2.1",3.55213570603045e-19,0.555901774971598,0.141,0.037,4.54602327657778e-15,"atlas_24h_alh","GstZ2"
"dsd",3.58233770810813e-19,0.585186168088454,0.175,0.06,4.58467579883679e-15,"atlas_24h_alh","dsd"
"fax.1",4.2796098673354e-19,0.343874910538252,0.79,0.595,5.47704470821584e-15,"atlas_24h_alh","fax"
"lola.1",6.37815447120018e-19,0.312759078451902,0.44,0.244,8.16276209224199e-15,"atlas_24h_alh","lola"
"Tis11",8.01699988689755e-19,0.359245194026548,0.409,0.223,1.02601564552515e-14,"atlas_24h_alh","Tis11"
"l(3)neo38.1",8.18093300505569e-19,0.37923279217721,0.3,0.143,1.04699580598703e-14,"atlas_24h_alh","l(3)neo38"
"B52.1",1.22821186123804e-18,0.425703631511723,0.311,0.153,1.57186554001244e-14,"atlas_24h_alh","B52"
"wds",1.39985302736244e-18,0.625533365086074,0.187,0.071,1.79153190441845e-14,"atlas_24h_alh","wds"
"Rack1",2.61085381875828e-18,0.323742998368918,0.713,0.48,3.34137071724684e-14,"atlas_24h_alh","Rack1"
"Ubr1",3.41692099810505e-18,0.362453828271722,0.281,0.134,4.37297549337484e-14,"atlas_24h_alh","Ubr1"
"Pp2A-29B",4.98897600171185e-18,0.491494641678189,0.229,0.1,6.38489148699083e-14,"atlas_24h_alh","Pp2A-29B"
"Dhit",6.38274434444283e-18,0.459467611048113,0.226,0.097,8.16863621201794e-14,"atlas_24h_alh","Dhit"
"nSyb",7.19109424877322e-18,0.606087106906705,0.209,0.085,9.20316241957997e-14,"atlas_24h_alh","nSyb"
"Rm62.1",7.38503970115044e-18,0.323666549368105,0.404,0.221,9.45137380953233e-14,"atlas_24h_alh","Rm62"
"RpL34b",7.51085800807096e-18,0.270704408937194,0.818,0.58,9.61239607872922e-14,"atlas_24h_alh","RpL34b"
"CG42806.1",1.43937516363816e-17,0.49049538922348,0.313,0.161,1.84211233442412e-13,"atlas_24h_alh","CG42806"
"alpha-Cat.1",1.80502436062619e-17,0.306003148279218,0.379,0.203,2.3100701767294e-13,"atlas_24h_alh","alpha-Cat"
"ZAP3.1",1.83419828501179e-17,0.474593823888004,0.169,0.059,2.34740696515808e-13,"atlas_24h_alh","ZAP3"
