"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"polo",3.48465897420343e-44,0.181093673422937,0.232,0.151,6.96931794840686e-41
"CG42697",8.45583473261342e-44,-0.349302718509206,0.245,0.177,1.69116694652268e-40
"msd1",9.69942057868742e-44,0.453785327299549,0.194,0.333,1.93988411573748e-40
"Rbp1",1.01671002132338e-42,-0.117058883856137,0.215,0.379,2.03342004264676e-39
"yuri",1.55257825389622e-42,-0.263779375712686,0.275,0.383,3.10515650779244e-39
"opa",2.08463340800094e-42,0.602657242005725,0.182,0.067,4.16926681600188e-39
"hig",5.94252991059859e-42,0.234198923269494,0.189,0.312,1.18850598211972e-38
"Pdp1",6.03247224568446e-42,-0.209658580642924,0.324,0.478,1.20649444913689e-38
"CG5708",7.67806303526226e-42,0.135053376754156,0.305,0.244,1.53561260705245e-38
"vn",7.73942225943427e-42,0.147910201686277,0.31,0.25,1.54788445188685e-38
"Hem",1.41739444116911e-41,0.117046633043089,0.324,0.26,2.83478888233822e-38
"sr",2.05186064424433e-41,0.101917373227439,0.324,0.25,4.10372128848866e-38
"CG10576",1.08656696678114e-40,-0.500451293354873,0.348,0.491,2.17313393356227e-37
"CG18081",1.71939491509206e-40,-0.112693911097401,0.218,0.356,3.43878983018411e-37
"CCT3",2.58392790428455e-40,-0.32747110759905,0.349,0.497,5.16785580856909e-37
"Pgant9",2.68177290572036e-40,-0.390580825041729,0.23,0.369,5.36354581144072e-37
"CG31176",3.26599131323604e-40,-0.188100304174199,0.1,0.279,6.53198262647209e-37
"Prat",3.55968279595163e-40,-0.161223488312673,0.156,0.089,7.11936559190326e-37
"RpL37A",7.27741570936984e-40,-0.286768523331925,0.939,0.951,1.45548314187397e-36
"Nup93-1",8.33161386413273e-40,0.134964474070591,0.172,0.096,1.66632277282655e-36
"jing",9.43467201500117e-40,0.160852603024433,0.235,0.153,1.88693440300023e-36
"Rpe",1.72159926376879e-39,-0.221790166393826,0.279,0.397,3.44319852753758e-36
"RpL24",4.04726376771147e-39,-0.395966294801167,0.884,0.94,8.09452753542294e-36
"ced-6",4.47952212228086e-39,-0.284821520007762,0.211,0.338,8.95904424456173e-36
"Swip-1",1.42910846198822e-38,-0.164110125597211,0.337,0.476,2.85821692397644e-35
"CG4038",2.63369435445612e-38,-0.682029173425864,0.351,0.489,5.26738870891224e-35
"Ote",3.115095066085e-38,0.327137660020745,0.368,0.31,6.23019013217e-35
"h",3.27735245282494e-38,-0.602290896449934,0.326,0.422,6.55470490564988e-35
"SpdS",7.85193326827901e-38,-0.414178720957734,0.285,0.216,1.5703866536558e-34
"CG43340",7.85560617273173e-38,0.282433889260797,0.217,0.356,1.57112123454635e-34
"trbl",8.27513394960291e-38,-0.212043543752385,0.262,0.188,1.65502678992058e-34
"lncRNA:CR40469",1.22525013350884e-37,0.317455477061929,0.967,0.943,2.45050026701767e-34
"RpS2",1.59285390317779e-36,-0.23974321397073,0.955,0.964,3.18570780635557e-33
"CG9149",2.07816222278341e-36,-0.137556162728092,0.236,0.35,4.15632444556682e-33
"Smn",9.19985756592e-36,0.12323309609359,0.257,0.187,1.839971513184e-32
"CG33993",1.26548586571927e-35,-0.867498005069485,0.275,0.215,2.53097173143854e-32
"SmF",4.6828063489474e-35,0.452218443683303,0.638,0.528,9.3656126978948e-32
"dUTPase",1.03963871558357e-34,0.609796886121031,0.606,0.519,2.07927743116714e-31
"Mgstl",1.19441065196271e-34,-0.355924536717939,0.241,0.373,2.38882130392543e-31
"RpS29",1.59428493573539e-34,-0.266965817894227,0.967,0.978,3.18856987147078e-31
"Notum",1.83937517933852e-34,-0.989114942869472,0.311,0.408,3.67875035867704e-31
"CBP",1.99279141105909e-34,0.807085325817974,0.473,0.393,3.98558282211817e-31
"RpLP0",2.26382509445301e-34,-0.447325177797104,0.842,0.893,4.52765018890602e-31
"RpL27",2.33953472201585e-34,-0.26531953703117,0.924,0.95,4.67906944403169e-31
"Mvd",4.99392067498148e-34,0.145914458247174,0.264,0.204,9.98784134996296e-31
"CG9932",5.70296332485577e-34,-0.26683826117331,0.081,0.221,1.14059266497115e-30
"CG13920",6.23067979846598e-34,0.768960310179314,0.332,0.254,1.2461359596932e-30
"Ets65A",7.81111005231361e-34,0.187313482393375,0.138,0.265,1.56222201046272e-30
"CG6712",1.27517038959355e-33,-0.404689512803106,0.342,0.491,2.5503407791871e-30
"Rx",3.68661589347356e-33,0.114724837217251,0.315,0.266,7.37323178694713e-30
"GCS2beta",4.93636376137797e-33,0.136635768703081,0.308,0.448,9.87272752275594e-30
"eEF1beta",5.06296984943926e-33,-0.439107314671908,0.742,0.84,1.01259396988785e-29
"RpL6",5.38694094671081e-33,-0.416797361738327,0.891,0.928,1.07738818934216e-29
"l(2)01289",1.09462148412832e-32,-0.130234492560929,0.084,0.129,2.18924296825664e-29
"CG8545",1.54272604438351e-32,-0.276464591166509,0.331,0.277,3.08545208876702e-29
"kst",2.4610473590374e-32,-0.667760110664492,0.399,0.522,4.92209471807479e-29
"CG18507",2.81419366990149e-32,-0.114390714611635,0.325,0.382,5.62838733980299e-29
"babos",3.18010104559148e-32,-0.912147474091788,0.29,0.4,6.36020209118296e-29
"RpL19",8.20029243483156e-32,-0.31057005213991,0.971,0.981,1.64005848696631e-28
"wor",9.45238430589043e-32,0.48724112922473,0.232,0.354,1.89047686117809e-28
"CG13305",1.38340521988707e-31,0.11761837828599,0.248,0.196,2.76681043977413e-28
"eEF1alpha1",1.60877806076576e-31,-0.16549120901817,0.956,0.965,3.21755612153151e-28
"RpS30",2.925809650345e-31,-0.325957954871447,0.929,0.953,5.85161930068999e-28
"RpL27A",3.01982365340308e-31,-0.293404034082243,0.953,0.966,6.03964730680615e-28
"awd",3.80079833677688e-31,-0.267660223899044,0.937,0.957,7.60159667355375e-28
"Dys",4.0867039616736e-31,-0.352365516383867,0.233,0.185,8.1734079233472e-28
"CG31869",4.14238490818797e-31,-0.234073719669213,0.36,0.446,8.28476981637595e-28
"His2Av",4.21691103078085e-31,0.629324742333079,0.689,0.646,8.43382206156169e-28
"RpS12",4.29998353179049e-31,-0.286198913034106,0.961,0.973,8.59996706358097e-28
"elB",6.82010056748134e-31,-0.621261239107824,0.501,0.625,1.36402011349627e-27
"RpS27A",7.14103265888823e-31,-0.242065013792777,0.972,0.983,1.42820653177765e-27
"ovo",8.71327334027171e-31,-0.939496277443467,0.248,0.365,1.74265466805434e-27
"RpL35",1.9147887820666e-30,-0.371598617141802,0.885,0.915,3.8295775641332e-27
"CG43347",2.96988621837309e-30,0.106583659232766,0.325,0.271,5.93977243674618e-27
"Idgf6",3.62989317760425e-30,-0.209948016980552,0.274,0.391,7.2597863552085e-27
"GILT1",5.48700154052187e-30,-0.244154199414299,0.304,0.393,1.09740030810437e-26
"bic",5.96031000959312e-30,-0.470161004202287,0.693,0.792,1.19206200191862e-26
"RpL34a",7.03299074419754e-30,-0.398986852919644,0.552,0.68,1.40659814883951e-26
"nw",8.72810774727864e-30,-0.134650502377922,0.214,0.323,1.74562154945573e-26
"MRG15",1.04347135883916e-29,0.283883058474878,0.344,0.452,2.08694271767831e-26
"lncRNA:CR43264",1.27926477487464e-29,-0.250986580026666,0.206,0.339,2.55852954974927e-26
"RapGAP1",1.44625116157854e-29,0.730515482111443,0.612,0.561,2.89250232315707e-26
"dac",2.94673412280237e-29,-0.12192382536738,0.245,0.33,5.89346824560474e-26
"Inx2",3.07228587793757e-29,-0.484761707502406,0.384,0.491,6.14457175587515e-26
"RpS15Aa",4.9301344509634e-29,-0.355418909423507,0.84,0.905,9.86026890192679e-26
"emb",6.3906053852886e-29,0.403204087307949,0.912,0.873,1.27812107705772e-25
"sta",6.83361958855575e-29,-0.181923277762817,0.958,0.969,1.36672391771115e-25
"beat-Ic",9.74758214954227e-29,-0.105600026579089,0.313,0.394,1.94951642990845e-25
"RpS25",1.11404268222548e-28,-0.159423402505815,0.992,0.992,2.22808536445095e-25
"nop5",1.84276323182638e-28,-0.536383178020717,0.349,0.484,3.68552646365276e-25
"RpL28",2.13361264231047e-28,-0.22725787380902,0.961,0.974,4.26722528462095e-25
"RpL38",2.42356643085272e-28,-0.324356222590796,0.918,0.951,4.84713286170543e-25
"D",3.09509257754747e-28,2.02467832962775,0.455,0.415,6.19018515509494e-25
"CG17834",3.3267695584408e-28,-0.204830812419497,0.218,0.179,6.6535391168816e-25
"LanA",3.49965386536911e-28,-0.25475817201802,0.277,0.352,6.99930773073822e-25
"Prosap",5.89602933683324e-28,-0.58505586112576,0.357,0.477,1.17920586736665e-24
"RpS26",7.18769400990898e-28,-0.195985971563169,0.972,0.98,1.4375388019818e-24
"RpL21",7.38105593316788e-28,-0.301139581183229,0.935,0.965,1.47621118663358e-24
"CG6040",8.83917471815211e-28,-0.286202244930241,0.101,0.237,1.76783494363042e-24
"Sam-S",1.35159836979033e-27,-0.219896368068744,0.305,0.423,2.70319673958065e-24
"Ahcy",1.36027878562216e-27,-0.41971171680253,0.379,0.493,2.72055757124432e-24
