"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Myd88",0.000184429133940848,0.219170288250623,0.269,0.195,0.368858267881696
"CG11319",0.00018475450853382,0.150232555101299,0.252,0.173,0.369509017067639
"CG10576",0.00018483032227243,0.174317843943953,0.239,0.15,0.36966064454486
"Spn88Ea",0.000190733391844288,-0.132741798487001,0.208,0.13,0.381466783688575
"CG12343",0.000199981411492468,-0.161242486677311,0.186,0.164,0.399962822984937
"elB",0.000201787182306064,-0.119658662945603,0.387,0.285,0.403574364612128
"RpL18A",0.000202782717248979,0.120165597570486,0.905,0.794,0.405565434497958
"jim",0.000206792069914027,-0.825758250392722,0.257,0.246,0.413584139828054
"dpn",0.000206961791367894,0.442977429315079,0.215,0.129,0.413923582735787
"jbug",0.000228578618135716,0.112529915759941,0.251,0.187,0.457157236271432
"aurB",0.000272069045483171,0.313738620473522,0.192,0.107,0.544138090966342
"CG12929",0.000283699997910097,-0.166869417805803,0.187,0.172,0.567399995820195
"Nup358",0.000284037546974489,0.678423413809415,0.217,0.135,0.568075093948978
"ham",0.000330351754927784,0.214702794608249,0.229,0.164,0.660703509855569
"dati",0.000363314021832492,-0.224227341549527,0.136,0.062,0.726628043664983
"Aldh-III",0.000367715824085087,-0.208814188845621,0.203,0.179,0.735431648170173
"Ilp2",0.000389365575325024,0.232436386626949,0.248,0.169,0.778731150650048
"nAChRalpha7",0.000423064681370484,-0.27481692442922,0.209,0.191,0.846129362740967
"Ssrp",0.000472606451267934,0.478506979710204,0.27,0.177,0.945212902535869
"CG8369",0.000474398618057762,-0.182655369190503,0.336,0.258,0.948797236115524
"bab2",0.000568250433192401,-0.605302003264576,0.239,0.224,1
"Cse1",0.000615564972584752,0.601929784306794,0.228,0.138,1
"Surf4",0.000656936242836581,0.10074767548138,0.203,0.129,1
"CG43689",0.00066932629354174,0.163829381303797,0.243,0.172,1
"Scsalpha1",0.000676106540163521,-0.29003503240598,0.244,0.227,1
"dally",0.000697544037701345,-0.506645085178208,0.399,0.309,1
"Gad1",0.000742819273886295,-0.404474883191584,0.26,0.178,1
"Cad87A",0.00074957471068497,0.103424675346124,0.209,0.183,1
"CG43795",0.000857651200789062,0.164196928072421,0.221,0.138,1
